query,source,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
leopardo delle nevi classificazione,IT-Suggeritti,24.03,28.01,47.96,12.35,12.25,11.97,12.66,12.68,12.2,12.69,13.21
altri nomi del tornado,IT-Suggeritti,26.89,32.3,40.8,12.37,12.42,12.52,12.08,13.38,12.2,11.89,13.13
animali a rischio di estinzione,IT-Suggeritti,21.37,21.06,57.57,12.29,12.43,12.14,12.25,13.22,12.41,12.75,12.51
azioni per evitare estinzione degli animali,IT-Suggeritti,28.46,18.35,53.19,12.26,12.06,11.94,12.67,12.9,13.03,12.53,12.6
che velcitÃ  puÃ² raggiungere un tornado,IT-Suggeritti,29.18,26.57,44.25,12.17,11.72,12.62,11.94,12.98,12.51,12.59,13.47
come aiutare gli animali in via di estinzion^?,IT-Suggeritti,23.57,32.23,44.2,11.98,12.32,11.93,12.4,12.56,13.56,12.98,12.27
come aiutare gli animali in via di estinzione?,IT-Suggeritti,23.61,26.49,49.9,12.17,12.31,11.98,12.5,12.69,13.11,12.79,12.45
come aiutare le specie in estinzione,IT-Suggeritti,33.15,26.98,39.87,12.0,12.3,12.04,12.36,12.74,12.73,13.21,12.63
come aiutare le specie in estinzione focus,IT-Suggeritti,33.15,26.98,39.87,12.0,12.3,12.04,12.36,12.74,12.73,13.21,12.63
come possiamo aiutare le specie in pericolo,IT-Suggeritti,32.81,34.24,32.96,11.72,12.51,12.15,11.82,13.31,12.6,13.44,12.45
come possiamo salvare gli animali quasi estinti,IT-Suggeritti,22.25,35.99,41.76,12.19,12.07,11.86,12.37,12.74,13.36,12.87,12.54
come si forma un tornado,IT-Suggeritti,29.95,28.56,41.49,12.37,12.42,12.52,12.08,13.38,12.2,11.89,13.13
la classificazione del leopardo delle nevi,IT-Suggeritti,20.99,33.5,45.51,12.35,12.25,11.97,12.66,12.68,12.2,12.69,13.21
mostro nero,IT-Suggeritti,26.08,29.28,44.64,12.15,12.99,12.02,12.56,12.98,12.67,12.98,11.66
qual Ã¨ il vulcano attivo piÃ¹ antico,IT-Suggeritti,38.53,19.98,41.49,12.34,12.37,12.19,12.39,12.97,12.64,12.67,12.43
quale tipologia di eruzione provoca piÃ¹ danni?,IT-Suggeritti,23.89,29.44,46.68,12.07,12.17,12.28,12.35,13.06,12.04,12.79,13.23
quali animali sono in via di estinzione,IT-Suggeritti,21.12,19.53,59.35,12.58,12.52,12.02,12.89,12.78,12.71,12.15,12.33
quali sono gli esemplari rimasti di fantasma ...,IT-Suggeritti,20.68,36.71,42.61,11.81,12.31,12.83,11.94,13.09,12.3,12.72,13.0
quando Ã¨ avvenuto il mostro nero,IT-Suggeritti,24.43,27.49,48.08,12.15,12.99,12.02,12.56,12.98,12.67,12.98,11.66
quante specie di leopardi delle nevi esistono,IT-Suggeritti,28.78,37.57,33.66,12.09,12.69,12.15,12.65,12.75,12.06,13.2,12.41
quanti esemplari sono rimasti di fantasma del...,IT-Suggeritti,20.68,36.71,42.61,11.81,12.31,12.83,11.94,13.09,12.3,12.72,13.0
quanti sono gli esemplari di leopardo delle nevi,IT-Suggeritti,19.89,32.59,47.52,12.78,12.43,12.45,12.31,12.95,12.31,11.93,12.85
quanti sono gli esemplari rimasti di fantasma ...,IT-Suggeritti,20.68,36.71,42.61,11.81,12.31,12.83,11.94,13.09,12.3,12.72,13.0
sinonimi del tornado,IT-Suggeritti,20.7,35.33,43.97,12.37,12.42,12.52,12.08,13.38,12.2,11.89,13.13
tigre bianca,IT-Suggeritti,30.1,19.6,50.29,12.96,13.02,12.49,12.28,13.0,12.19,11.9,12.17
velocitÃ  massima del tornado,IT-Suggeritti,38.16,24.88,36.96,12.37,12.42,12.52,12.08,13.38,12.2,11.89,13.13
velocitÃ  massima di un tornado,IT-Bambini,38.16,24.88,36.96,12.37,12.42,12.52,12.08,13.38,12.2,11.89,13.13
3 animali in estinzione,IT-Bambini,21.12,19.53,59.35,12.58,12.52,12.02,12.89,12.78,12.71,12.15,12.33
classificazione del leopardo delle nevi,IT-Bambini,20.99,33.5,45.51,12.35,12.25,11.97,12.66,12.68,12.2,12.69,13.21
classificazione leopardo delle nevi,IT-Bambini,20.99,33.5,45.51,12.35,12.25,11.97,12.66,12.68,12.2,12.69,13.21
come aiutarele specie in estinzione,IT-Bambini,37.78,22.36,39.86,12.54,12.29,12.07,12.69,12.95,12.25,12.42,12.8
come possiamo aiutare le specie in estinzione,IT-Bambini,31.43,34.57,34.0,12.0,12.3,12.04,12.36,12.74,12.73,13.21,12.63
come si chiama Monica,IT-Bambini,46.68,34.56,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
come si formano i vulcani?,IT-Bambini,36.49,18.5,45.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
come si trovano i vulcani?,IT-Bambini,37.69,27.81,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
come viene classificato il leopardo delle nevi?,IT-Bambini,19.06,43.47,37.48,12.78,12.43,12.45,12.31,12.95,12.31,11.93,12.85
cosa possiamo fare per aiutare le specie in es...,IT-Bambini,31.84,41.42,26.74,11.74,12.3,12.02,12.21,12.64,12.96,13.59,12.54
sviluppo di un tornado e i suoi effetti,IT-Bambini,31.32,22.85,45.83,12.4,12.24,12.24,11.83,13.02,12.13,12.86,13.28
tipo di eruzione piÃ¹ dannoso,IT-Bambini,27.05,28.89,44.06,12.05,12.48,12.22,12.37,13.03,12.55,12.83,12.47
tornado,IT-Bambini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tornado mostro nero,IT-Bambini,26.08,29.28,44.64,12.15,12.99,12.02,12.56,12.98,12.67,12.98,11.66
tornado veloce,IT-Bambini,28.69,55.32,15.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tornado velocita,IT-Bambini,20.7,35.33,43.97,12.37,12.42,12.52,12.08,13.38,12.2,11.89,13.13
tornado velocita mostro nero,IT-Bambini,24.29,31.29,44.42,12.22,12.81,12.18,12.41,13.11,12.52,12.63,12.13
velocita tornado,IT-Bambini,20.7,35.33,43.97,12.37,12.42,12.52,12.08,13.38,12.2,11.89,13.13
vulcani tipologia di eruzioni danni,IT-Bambini,23.62,20.23,56.14,11.69,12.17,12.03,12.52,12.69,12.07,13.69,13.14
vulcano attivo antico,IT-Bambini,38.53,19.98,41.49,12.34,12.37,12.19,12.39,12.97,12.64,12.67,12.43
vulcano piÃ¹ antico attivo,IT-Bambini,40.91,22.37,36.73,12.12,12.24,12.07,12.61,12.8,12.9,12.97,12.28
