Query,OG_male_rougeL,OG_male_rougeLsum,OG_female_rougeL,OG_female_rougeLsum,OG_neutral_rougeL,OG_neutral_rougeLsum
la classificazione del leopardo delle nevi,0.20000000298023224,0.2666666805744171,0.21875,0.296875,0.3486238420009613,0.4220183491706848
mostro nero,0.4000000059604645,0.4000000059604645,0.23076923191547394,0.23076923191547394,0.25,0.25
qual Ã¨ il vulcano attivo piÃ¹ antico,0.6451612710952759,0.6451612710952759,0.04545454680919647,0.04545454680919647,0.4615384638309479,0.4615384638309479
quale tipologia di eruzione provoca piÃ¹ danni?,0.2857142984867096,0.40336135029792786,0.40310078859329224,0.41860464215278625,0.47457626461982727,0.5254237055778503
quali animali sono in via di estinzione,0.3361344635486603,0.36974790692329407,0.3076923191547394,0.34188035130500793,0.3689320385456085,0.40776699781417847
quali sono gli esemplari rimasti di fantasma ...,0.5454545617103577,0.5454545617103577,0.22727273404598236,0.22727273404598236,0.3414634168148041,0.39024388790130615
quando Ã¨ avvenuto il mostro nero,0.2068965584039688,0.2068965584039688,0.260869562625885,0.260869562625885,0.5,0.5
quante specie di leopardi delle nevi esistono,0.7457627058029175,0.7457627058029175,0.2666666805744171,0.2666666805744171,0.2539682686328888,0.2539682686328888
quanti esemplari sono rimasti di fantasma del...,0.2380952388048172,0.3333333432674408,0.3125,0.3125,0.37037035822868347,0.37037035822868347
quanti sono gli esemplari di leopardo delle nevi,0.5151515007019043,0.5151515007019043,0.2857142984867096,0.41558441519737244,0.782608687877655,0.8115941882133484
quanti sono gli esemplari rimasti di fantasma ...,0.5555555820465088,0.5185185074806213,0.3076923191547394,0.3076923191547394,0.5,0.4615384638309479
sinonimi del tornado,0.4375,0.4375,0.6000000238418579,0.6000000238418579,0.40909090638160706,0.40909090638160706
tigre bianca,0.18390804529190063,0.2068965584039688,0.27419355511665344,0.30645161867141724,0.15217390656471252,0.17391304671764374
velocitÃ  massima del tornado,0.29411765933036804,0.29411765933036804,0.3174603283405304,0.3174603283405304,0.4000000059604645,0.4000000059604645
velocitÃ  massima di un tornado,0.2857142984867096,0.2857142984867096,0.4313725531101227,0.4313725531101227,0.125,0.125
3 animali in estinzione,0.028169013559818268,0.028169013559818268,0.17391304671764374,0.17391304671764374,0.03921568766236305,0.03921568766236305
classificazione del leopardo delle nevi,0.23357664048671722,0.36496350169181824,0.25925925374031067,0.29629629850387573,0.22891566157341003,0.3012048304080963
classificazione leopardo delle nevi,0.3333333432674408,0.4166666567325592,0.365217387676239,0.4000000059604645,0.33734938502311707,0.3855421543121338
come aiutarele specie in estinzione,0.17977528274059296,0.37078651785850525,0.2842639684677124,0.48730963468551636,0.33136093616485596,0.4378698170185089
come possiamo aiutare le specie in estinzione,0.3006536066532135,0.32679739594459534,0.2133333384990692,0.3199999928474426,0.27142858505249023,0.34285715222358704
come si chiama Monica,0.2666666805744171,0.2666666805744171,0.08695652335882187,0.08695652335882187,0.5,0.5
come si formano i vulcani?,0.4324324429035187,0.5405405163764954,0.5322580933570862,0.5806451439857483,0.4642857015132904,0.5178571343421936
come si trovano i vulcani?,0.14000000059604645,0.14000000059604645,0.1649484485387802,0.1649484485387802,0.12244898080825806,0.1428571492433548
come viene classificato il leopardo delle nevi?,0.5283018946647644,0.5283018946647644,0.37681159377098083,0.52173912525177,0.3414634168148041,0.3658536672592163
cosa possiamo fare per aiutare le specie in es...,0.22580644488334656,0.29032257199287415,0.20858895778656006,0.30674847960472107,0.25333333015441895,0.36000001430511475
sviluppo di un tornado e i suoi effetti,0.15853658318519592,0.26829269528388977,0.2292993664741516,0.331210196018219,0.23952095210552216,0.359281450510025
tipo di eruzione piÃ¹ dannoso,0.22429905831813812,0.28037384152412415,0.03030303120613098,0.03030303120613098,0.19834710657596588,0.24793387949466705
tornado,0.08791209012269974,0.10989011079072952,0.09708737581968307,0.11650485545396805,0.08888889104127884,0.13333334028720856
tornado mostro nero,0.1553398072719574,0.19417475163936615,0.13245032727718353,0.17218543589115143,0.14399999380111694,0.17599999904632568
tornado veloce,0.30000001192092896,0.3499999940395355,0.2150537669658661,0.25806450843811035,0.20952381193637848,0.2666666805744171
tornado velocita,0.1649484485387802,0.22680412232875824,0.2195121943950653,0.24390244483947754,0.31578946113586426,0.31578946113586426
tornado velocita mostro nero,0.25,0.2083333283662796,0.0625,0.0625,0.1428571492433548,0.20408163964748383
velocita tornado,0.1818181872367859,0.20454545319080353,0.15094339847564697,0.15094339847564697,0.1428571492433548,0.190476194024086
vulcani tipologia di eruzioni danni,0.28346458077430725,0.33070865273475647,0.17449665069580078,0.24161073565483093,0.2857142984867096,0.3968254029750824
vulcano attivo antico,0.2028985470533371,0.23188406229019165,0.18487395346164703,0.23529411852359772,0.19607843458652496,0.23529411852359772
vulcano piÃ¹ antico attivo,0.3181818127632141,0.3181818127632141,0.4878048896789551,0.4390243887901306,0.2181818187236786,0.2181818187236786
