query,resp,rank,IAS,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Si e scoperto il padre di Micerino?,"Micerino - Wikipedia. Micerino è figlio del faraone Chefren ed è nipote di Cheope. Un coltello di selce rinvenuto nel tempio funerario di Micerino menziona Khamerernebti I con il titolo di Madre del Re (nello specifico, di Micerino): tale ritrovamento ha suggerito che Chefren e la sua regina fossero genitori di Micerino. Sono note due mogli di Micerino:",1,Bing,30.08,27.79,42.14,13.05,12.82,13.4,10.77,12.51,11.66,13.03,12.77
Si e scoperto il padre di Micerino?,LA PIRAMIDE DI MICERINO - LA CIVILTA' EGIZIA. Gli egittologi sono invece del parere che le evidenze archeologiche confermerebbero che Menkhaura sia stato l’immediato successore del padre Chefren. Di lui fanno bella mostra le meravigliose statue che lo raffigurano affiancato da divinità o dalle consorti Khamerer-Nebty II e Rakhetra.,2,Bing,34.69,24.76,40.55,12.14,13.22,11.38,12.06,12.01,11.38,14.48,13.34
Si e scoperto il padre di Micerino?,"Piramide di Micerino - Wikipedia. Rivestimento esterno in granito. Costruita circa 450 metri a sud-ovest rispetto alla piramide di Chefren, dimostra la fretta del costruttore, che la edificò in più riprese, materiali vari e varie tecniche.Ed è stata costruita nel 2510 a.c. circa Il suo volume non supera i 250.000 m³ ossia un decimo di quella di Cheope presentando la particolarità dei blocchi molto più grandi anche di ...",3,Bing,31.64,23.74,44.62,11.9,12.08,12.69,11.09,13.07,11.27,14.0,13.91
Si e scoperto il padre di Micerino?,"Piramide di Micerino, Guida alla Visita - Egitto 2025 | Arché Travel. Shepseskaf, il figlio di Micerino. L’edificio, si collega al tempio a valle attraverso la lunga rampa processionale e secondo gli studiosi comprendeva differenti ambienti. Nel 1906, gli egittologi però ritrovarono solo il muro perimetrale e qualche parte delle fondamenta.",4,Bing,28.42,25.24,46.34,12.11,13.11,13.64,9.72,13.44,11.36,14.05,12.58
Si e scoperto il padre di Micerino?,Chi erano Chefren e Micerino? - in3giorni.com. Nome di un faraone della 4 a dinastia (circa 2600-2480 a. C.); figlio di Cheope e padre di Micerino; costruì una piramide a Giza. Al suo tempo risale la grande sfinge della necropoli menfitica.,5,Bing,29.13,24.86,46.0,12.97,13.54,12.14,10.85,12.08,12.44,13.72,12.27
quali sono le regole principali della pallavolo,"Le Regole della Pallavolo spiegate in modo semplice e chiaro. Esplora le regole dettagliate della pallavolo, inclusi i termini e le disposizioni del campo. Scopri le regolamentazioni ufficiali e i ruoli dei giocatori. Tutto ciò che devi sapere per comprendere e goderti al meglio questo affascinante sport.",1,Bing,35.17,22.86,41.97,13.11,10.92,13.62,10.34,11.53,12.42,15.0,13.06
quali sono le regole principali della pallavolo,"Pallavolo, regole e ruoli: riassunto | Studenti.it. Pallavolo: come funziona, quali sono le regole e i ruoli del gioco. Caratteristiche fondamentali, numero di giocatori e allenamento: riassunto breve",2,Bing,31.16,23.3,45.54,13.96,10.98,14.52,9.86,11.41,11.07,12.98,15.22
quali sono le regole principali della pallavolo,Le regole di gioco della pallavolo - Decathlon. Preparati per il prossimo match di volley-ball imparando le regole di gioco fondamentali per giocare con la tua squadra! La pallavolo è uno sport che si svolge tra due squadre di sei giocatori ciascuna.,3,Bing,28.81,21.79,49.4,16.2,11.72,15.03,9.26,10.95,10.54,12.91,13.38
quali sono le regole principali della pallavolo,"Tutte le regole della pallavolo in breve - Sportivo e Informa. Le regole della pallavolo distinguono ben cinque ruoli differenti all’interno di una squadra, nonostante i giocatori siano sei: palleggiatore, opposto, centrale, schiacciatore (x 2) e libero. Il palleggiatore è un ruolo fondamentale, infatti determina quasi tutte le azioni offensive del suo team.",4,Bing,37.65,22.55,39.8,13.14,11.17,13.49,10.48,12.4,11.54,14.71,13.07
quali sono le regole principali della pallavolo,"Le regole della Pallavolo: dalle dimensioni del campo ai falli. La regole della Pallavolo: i falli. Si conquista punto ogni volta che la palla tocca il terreno avversario oppure ogni volta che la squadra avversaria commette un fallo. Di seguito, vediamo i principali falli secondo le regole della pallavolo: E’ fallo se si blocca la palla in gioco; E’ fallo se si tocca la palla nel campo avversario;",5,Bing,33.26,27.8,38.94,14.44,13.01,15.54,8.49,11.6,10.68,13.61,12.63
quanti leopardi delle nevi sono rimasti,"I leopardi delle nevi sono in pericolo di estinzione nel 2024. Nelle remote terre selvagge, il “fantasma delle montagne” – lo sfuggente leopardo delle nevi – è a rischio di estinzione. Questo appello sollecita un’azione collettiva per proteggere questa specie enigmatica e preservare il suo delicato habitat montuoso.",1,Bing,26.5,23.81,49.69,11.22,11.79,11.32,11.1,14.75,12.7,14.15,12.96
quanti leopardi delle nevi sono rimasti,"Leopardo delle nevi: la guida a questo felino in via di estinzione. Dove si sa che ne esistono di più è in Cina, con una stima tra i 2000 e i 2500 esemplari (praticamente la metà delle sue specie), mentre dove non ne sono rimasti quasi più è in Uzbekistan (appena 20-50).",2,Bing,27.41,30.86,41.73,12.96,12.81,12.72,10.54,13.09,11.26,13.82,12.8
quanti leopardi delle nevi sono rimasti,"Quanti Leopardi sono rimasti? - animali.wiki. Quanti leopardi delle nevi sono rimasti? È l'ABC delle SPECIE. Il leopardo delle nevi è un animale estremamente elusivo che vive nelle aree rocciose e montuose dell'Himalaya, del Tibet, del Pamir, dei monti Altai e di altre zone dell'Asia centrale. La stima si riferisce agli individui maturi.",3,Bing,28.48,33.39,38.13,13.09,12.0,10.89,12.81,13.52,12.04,13.27,12.37
quanti leopardi delle nevi sono rimasti,"Leopardo delle nevi - Mille Animali. Ci sono da 5 a 7 mila leopardi delle nevi rimasti in libertà. Vivono in 12 diversi paesi dell’Asia centrale. Il loro habitat è rappresentato dalle montagne del Bhutan, Afghanistan, Cina, India, Kirghizistan, Kazakistan, Nepal, Mongolia, Pakistan, Russia, Tagikistan e Uzbekistan.",4,Bing,20.09,26.72,53.19,13.2,11.38,9.99,11.31,14.19,13.14,14.45,12.36
quanti leopardi delle nevi sono rimasti,"Leopardo delle nevi: le caratteristiche di questo bellissimo felino. Ad oggi, le stime contano dai 4.000 ai 6.500 esemplari rimasti. La speranza è che il numero sia molto più alto perché, in realtà, si tratta di un animale molto schivo ed è molto difficile individuarlo.",5,Bing,34.32,26.42,39.26,12.19,12.04,11.08,10.66,13.4,13.04,14.9,12.69
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,"Cosa sono i tornado e perché si verificano? - inNaturale. Il vortice di un tornado può raggiungere fino a 300 metri di ampiezza, si muove in linea retta e di solito percorre anche decine di chilometri prima di dissolversi. Nell’epicentro del tornado l’aria ha una pressione bassissima e il vento raggiunge anche i 600 chilometri l’ora.",1,Bing,27.87,32.27,39.86,11.83,11.74,13.62,9.27,14.39,11.76,12.85,14.55
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,"Il fenomeno atmosferico più distruttivo: il Tornado | Fisica .... La velocità del vento può superare i 500 km/h, mentre le correnti ascensionali toccano anche i 300 km/h, riuscendo a sollevare da terra gli oggetti più pesanti come automobili, case, locomotive ed altro ancora.",2,Bing,27.98,35.71,36.31,11.35,11.41,13.27,10.54,13.97,13.0,12.98,13.48
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,"Quali sono le velocità dei tornado? - Portale Sulla Scienza. 🎓 I tornado sono una delle minacce più potenti e spaventose prodotte dalla natura. I tornado producono venti che possono superare quelli dei più potenti uragani, ma in un'area molto concentrata. Queste velocità del vento possono superare 200 miglia all'ora e causare devastazione totale.",3,Bing,30.86,34.08,35.06,10.94,11.25,12.35,10.08,14.32,12.67,13.79,14.6
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,"Cronometrando la Velocità di un Tornado | NEURALWORD. La loro velocità di rotazione può raggiungere livelli estremi, creando una potenza devastante che può causare gravi danni alle aree che colpiscono. In questo articolo esploreremo come viene cronometrata la velocità di un tornado e risponderemo a domande comuni legate a questo fenomeno naturale.",4,Bing,30.2,31.74,38.06,10.86,10.96,13.28,9.93,14.06,12.79,13.69,14.42
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,"Trombe d’aria e tornado: cosa sono, come si sviluppano ... - Ingenio. Le trombe d’aria, note anche come tornado, sono tra i fenomeni atmosferici più violenti e spettacolari esistenti in natura. Si manifestano come vortici d’aria rotanti ad altissima velocità, che si estendono da una nube temporalesca fino al suolo.",5,Bing,34.25,26.92,38.83,12.15,12.43,13.52,8.71,14.34,11.66,13.54,13.67
Come si costruivano le piramidi Egizie?,"Teorie sulla costruzione delle piramidi egizie - Wikipedia. Nei cento anni che precedettero Giza, a partire da Djoser che regnò dal 2687 al 2667 a.C., tra le dozzine di altri templi, piccole piramidi ed altri progetti, furono costruite altre tre grandi piramidi.",1,Bing,29.72,23.53,46.75,10.56,10.16,11.44,10.94,12.51,12.08,16.03,16.28
Come si costruivano le piramidi Egizie?,"Piramidi egizie - Wikipedia. Le piramidi egizie sono costruzioni architettoniche di forma piramidale con base perlopiù quadrata o, talvolta, rettangolare.",2,Bing,29.49,17.98,52.53,11.64,11.66,10.96,11.13,13.12,10.39,16.73,14.38
Come si costruivano le piramidi Egizie?,"COME SI COSTRUIVANO LE PIRAMIDI? – LA CIVILTA' EGIZIA. Si utilizzavano essenze locali, come legno di palma o sicomoro per rinforzare le rampe e le vie di trasporto, ma anche acacia, palma Dum e Ziziphus, per costruire imbarcazioni destinate al trasporto dei materiali da un capo all’altro dell’Egitto.",3,Bing,25.88,20.06,54.07,12.19,12.18,12.22,10.32,12.97,12.01,15.92,12.19
Come si costruivano le piramidi Egizie?,"Come hanno fatto gli Egiziani a costruire le piramidi?. Le piramidi d'Egitto sono uno dei misteri più affascinanti dell'antichità. Scopri con Focus Junior come ha fatto questo popolo, 3mila anni fa, a costruire questi grandiosi monumenti.",4,Bing,29.32,20.84,49.85,11.76,11.57,10.82,11.1,12.7,13.52,14.9,13.63
Come si costruivano le piramidi Egizie?,"""Egizi e piramidi: costruzione, funzione e misteri di un'iconica .... Le piramidi sono antichi monumenti costruiti dagli Egizi durante il loro periodo storico più glorioso, il Nuovo Regno. Queste imponenti strutture erano generalmente costruite per i faraoni, e si pensava che fossero utilizzate come tombe per la loro sepoltura.",5,Bing,26.69,21.11,52.2,12.72,10.76,11.18,11.06,12.59,13.07,14.72,13.89
Dove si trova la piramide di Cheope?,"Piramide di Cheope - Wikipedia. La Piramide di Cheope è la più antica e più grande delle tre piramidi principali della necropoli di Giza. È la più antica delle sette meraviglie del mondo antico nonché l'unica arrivata ai giorni nostri. È costituita da almeno 2 300 000 blocchi, ciascuno mediamente del peso di circa 2,5 tonnellate e, secondo gli egittologi, fu edificata ...",1,Bing,33.0,22.34,44.65,11.87,12.16,11.67,11.08,13.24,12.33,14.89,12.77
Dove si trova la piramide di Cheope?,"Piramide di Cheope, dove si trova? È incredibile la sua posizione: vi .... La sua particolarità sta però nella sua posizione: la Grande Piramide, infatti si trova proprio in un punto esatto della Terra. É l’unica delle sette meraviglie del mondo antico ancora in...",2,Bing,37.94,28.62,33.44,11.46,12.04,12.29,11.16,12.95,11.65,15.34,13.12
Dove si trova la piramide di Cheope?,"Piramide di Cheope, Guida Visita - Egitto 2025 | Arché Travel. Si trova all’interno della Necropoli di Giza, uno dei più importanti siti archeologici al mondo. Inoltre, questa piramide è l’unica tra le sette meraviglie del mondo antico ad essere ancora oggi intatta e visitabile. Ma non solo, perché questo luogo è anche un Patrimonio dell’Unesco.",3,Bing,30.84,23.96,45.21,11.47,12.27,12.75,10.06,12.98,11.88,15.91,12.68
Dove si trova la piramide di Cheope?,"Le Piramidi di Giza: dove si trovano e quante sono - idealista. Le piramidi dell’area di Giza sono 3 e il loro nomi sono, oltre alla Grande Piramide di Cheope, le piramidi di Chefren e Micerino. Insieme a queste costruzioni c’è anche la famosissima Sfinge.",4,Bing,31.34,24.99,43.66,12.36,12.15,11.89,10.89,13.7,11.97,14.81,12.23
Dove si trova la piramide di Cheope?,"Piramide di Cheope: storia, descrizione e misteri | Esquire. Conosciuta anche come Grande Piramide di Giza o Piramide di Khufu, la Piramide di Cheope è un’immensa costruzione situata nella necropoli di Giza - vicino a Il Cairo - ed è, tra...",5,Bing,27.81,21.16,51.04,11.77,12.56,12.13,11.11,12.47,10.92,14.02,15.02
FANTASMA DELLE MONTAGNE,Chi è il leopardo delle nevi e perché è detto “fantasma delle montagne”. Il misterioso leopardo delle nevi è un grosso carnivoro che abita le regioni montuose dell’Asia centrale. Da sempre è protagonista di miti e racconti ed è detto anche fantasma delle montagne per il suo comportamento elusivo.,1,Bing,26.98,29.68,43.35,11.5,11.54,12.19,11.59,14.59,12.51,12.99,13.09
FANTASMA DELLE MONTAGNE,"Il leopardo delle nevi: dove vive il “fantasma delle montagne ... - Ohga. Il leopardo delle nevi (Panthera uncia) non è solo agile e sfuggente, come d'abitudine quando si parla di felini, ma è ritenuto addirittura uno degli animali più difficili da avvistare: viene chiamato infatti ""fantasma delle montagne"", proprio perché è in grado di mimetizzarsi con l'ambiente e quindi di sfuggire facilmente alla vista di ...",2,Bing,30.11,35.11,34.78,12.37,11.89,11.71,11.72,13.85,13.06,13.09,12.31
FANTASMA DELLE MONTAGNE,"Il leopardo delle nevi è un cacciatore formidabile e un maestro del .... Il leopardo delle nevi (Panthera uncia) è un felide straordinariamente adattato agli ambienti montani estremi dell’Asia centrale, dove vive a quote elevate, fino a 5.400 metri.Questo predatore ...",3,Bing,28.46,29.33,42.21,13.75,12.11,12.58,11.65,14.32,12.02,11.51,12.05
FANTASMA DELLE MONTAGNE,"Mongolia, il Fantasma delle Montagne esiste: è il leopardo delle nevi. Una gigantesca indagine durata 4 anni, finalmente regala informazioni in merito al leopardo delle nevi in Mongolia. Lo chiamano Fantasma delle Montagne perché riuscire a immortalarlo e...",4,Bing,27.04,29.12,43.84,11.23,11.61,13.1,10.1,13.96,11.64,13.72,14.63
FANTASMA DELLE MONTAGNE,"10 curiosità da scoprire sul leopardo delle nevi - Montagna.TV. Il leopardo delle nevi è anche noto come “Fantasma delle Montagne” perché, oltre a vivere in zone rocciose lungo le catene montuose di Himalaya, Tibet, Pamir, Monti Altai e altre aree...",5,Bing,25.41,29.89,44.7,11.54,11.53,12.77,10.56,14.15,12.39,13.6,13.47
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,"Perchè i tornado hanno nomi femminili? - QualcheRisposta.it. Una scelta influenzata probabilmente dalla Marina militare, dove i nomi di donna sono storicamente molto utilizzati. Ma dopo 25 anni, sull'onda delle pressioni dei gruppi femministi, la regola è cambiata ancora una volta.",1,Bing,32.42,25.05,42.53,12.22,12.8,13.2,10.23,13.46,11.93,13.14,13.01
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,"Quali sono altri nomi per i tornado? - 411answers.com. Un tornado, una tempesta di vento localizzata e molto distruttiva che si verifica sulla terraferma, viene anche definito ciclone, twister o imbuto. Queste appendici a forma di imbuto si estendono da una nuvola di tempesta al terreno e sono costituite da vento che ruota molto velocemente con un movimento circolare.",2,Bing,32.36,29.51,38.14,12.18,12.43,12.84,9.53,15.13,11.3,12.14,14.45
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,"Il fenomeno atmosferico più distruttivo: il Tornado | Fisica .... Il tornado è un vortice d’aria che sale all’interno di una nube. Nella fase iniziale o in quella più matura, tutti i temporali sono caratterizzati da correnti ascendenti, chiamate “ updrafts ”.",3,Bing,31.42,33.8,34.78,11.53,11.44,13.1,10.19,14.4,12.42,12.51,14.4
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,"Tortano o casatiello? Quali le differenze e dove comprarli? Ecco la .... Un riferimento assoluto e indiscusso è la pasticceria Mignone. Stessa tradizione a Pompei dove viene prodotto dalla Panetteria Esposito. Questo dolce poi si trova con altri nomi anche in altre zone, per esempio nel Sannio c’è la Pigna, un casatiello dolce del Monte Titerno mentre, con lo stesso nome, Pigna, si produce anche in ...",4,Bing,30.4,31.75,37.85,12.32,12.3,12.18,11.44,12.53,12.05,15.79,11.38
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,"Tortano - Wikipedia. Il tòrtano è un prodotto della cucina napoletana. Si tratta di un pane salato, tipico del periodo pasquale. Il tortano è molto simile al casatiello: la principale differenza è l'utilizzo delle uova (nel casatiello sono posizionate anche nella parte superiore e non solo sode e a pezzettini nell'impasto come nel tortano).",5,Bing,32.71,27.32,39.97,11.82,12.06,11.58,11.8,13.37,11.72,15.4,12.24
Quale e la piramide egizia piu` alta ?,"Piramide di Cheope - Wikipedia. La Piramide di Cheope è la più antica e più grande delle tre piramidi principali della necropoli di Giza. È la più antica delle sette meraviglie del mondo antico nonché l'unica arrivata ai giorni nostri. È costituita da almeno 2 300 000 blocchi, ciascuno mediamente del peso di circa 2,5 tonnellate e, secondo gli egittologi, fu edificata ...",1,Bing,33.0,22.34,44.65,11.87,12.16,11.67,11.08,13.24,12.33,14.89,12.77
Quale e la piramide egizia piu` alta ?,"Piramidi di Giza Altezza: Scopri le Meraviglie Antiche - Viaggio in Egitto. Qual è l'altezza delle principali piramidi egizie? La Piramide di Cheope, la più grande del complesso di Giza, raggiunge un'altezza di 147 metri. È seguita dalla Piramide di Chefren, alta 136 metri, e dalla Piramide di Micerino, che misura 61 metri.",2,Bing,31.48,24.37,44.16,12.11,12.71,13.73,9.88,12.92,11.43,13.8,13.42
Quale e la piramide egizia piu` alta ?,"Piramidi Altezza: L'Altezza delle 8 Piramidi più Famosi - Tour Egitto. La Piramide Rossa misura circa 105 metri di altezza, rendendola la terza piramide più alta dell'Egitto, dopo la Grande Piramide di Giza e la Piramide di Khafre. Realizzata in calcare rosso, da cui deriva il suo nome, la piramide presenta una struttura interna complessa con camere e corridoi.",3,Bing,28.14,23.1,48.76,11.81,12.93,12.92,10.63,12.94,11.06,14.27,13.44
