query,LLM,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
3 animali in estinzione,gemma,30.005,29.91,40.084999999999994,12.01,12.875,12.785,11.504999999999999,12.370000000000001,12.114999999999998,13.620000000000001,12.725000000000001
classificazione del leopardo delle nevi,gemma,25.5,32.19,42.31,12.22,12.535,12.305,12.17,12.555,12.17,13.065000000000001,12.975000000000001
classificazione leopardo delle nevi,gemma,26.48,31.8,41.72,12.01,12.565,12.254999999999999,12.115,12.405000000000001,12.120000000000001,13.495,13.04
come aiutarele specie in estinzione,gemma,31.47,22.64,45.885,12.185,12.24,12.17,12.219999999999999,12.68,12.355,13.35,12.8
come possiamo aiutare le specie in estinzione,gemma,28.625,20.494999999999997,50.879999999999995,12.33,12.379999999999999,12.16,12.305,12.705,12.245000000000001,13.204999999999998,12.665
come si chiama Monica,gemma,36.365,31.505,32.129999999999995,12.305,12.620000000000001,12.635,11.875,12.355,12.379999999999999,13.33,12.504999999999999
come si formano i vulcani?,gemma,30.96,20.29,48.75,12.309999999999999,12.385,12.46,12.065000000000001,12.74,12.530000000000001,12.935,12.565
come si trovano i vulcani?,gemma,27.165,21.215,51.615,12.405000000000001,12.59,12.685,11.89,12.754999999999999,12.24,12.825,12.61
come viene classificato il leopardo delle nevi?,gemma,27.35,28.2,44.45,12.265,12.57,12.47,11.985,12.695,12.184999999999999,13.14,12.69
cosa possiamo fare per aiutare le specie in es...,gemma,31.465,25.270000000000003,43.265,12.2,12.305,12.129999999999999,12.175,12.7,12.4,13.42,12.665
sviluppo di un tornado e i suoi effetti,gemma,28.865000000000002,27.424999999999997,43.715,12.325,12.469999999999999,12.405,11.855,12.71,12.275,13.115,12.86
tipo di eruzione piÃ¹ dannoso,gemma,28.845,29.465,41.685,12.05,12.620000000000001,12.395,12.09,12.825,12.415,13.065000000000001,12.535
tornado,gemma,28.4,29.29,42.31,12.15,12.68,12.530000000000001,11.835,12.625,12.16,13.235,12.785
tornado mostro nero,gemma,30.15,26.62,43.235,12.309999999999999,12.325,12.405000000000001,11.969999999999999,12.805,12.434999999999999,12.940000000000001,12.81
tornado veloce,gemma,31.53,27.84,40.63,12.114999999999998,12.58,12.57,11.91,12.66,12.335,13.195,12.625
tornado velocita,gemma,28.4,29.29,42.31,12.15,12.68,12.530000000000001,11.835,12.625,12.16,13.235,12.785
tornado velocita mostro nero,gemma,31.04,28.835,40.129999999999995,12.375,12.5,12.35,12.045,12.945,12.465,12.83,12.49
velocita tornado,gemma,29.035,29.83,41.135000000000005,12.19,12.635,12.809999999999999,11.57,12.675,12.225000000000001,13.114999999999998,12.785
vulcani tipologia di eruzioni danni,gemma,27.310000000000002,26.36,46.33,11.96,12.6,12.385,11.965,12.440000000000001,12.125,13.725000000000001,12.805
vulcano attivo antico,gemma,33.09,25.72,41.195,12.235,12.57,12.370000000000001,12.085,12.715,12.435,13.075,12.52
vulcano piÃ¹ antico attivo,gemma,32.89,28.27,38.85,12.09,12.535,12.375,12.129999999999999,12.620000000000001,12.565000000000001,13.23,12.454999999999998
