query,LLM,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
quanto Ã¨ alta la tomba del padre micerino,gpt,31.025,31.79,37.185,12.434999999999999,12.594999999999999,12.565,12.075,12.325,12.7,12.995000000000001,12.305
quanto Ã¨ alta la tomba di Chefren,gpt,29.955,29.89,40.155,12.18,12.56,12.5,11.915,12.475,12.475000000000001,13.31,12.59
quanto Ã¨ alta la tomba di micerino,gpt,33.760000000000005,30.93,35.31,12.420000000000002,12.535,12.455,12.045,12.36,12.435,13.129999999999999,12.615
quanto Ã©l alta la tomba di micerino,gpt,34.1,36.755,29.145000000000003,11.885,12.129999999999999,12.58,11.8,12.425,12.465,13.7,13.015
regioni italÃ©8iane con piu` squadre di pallavolo,gpt,31.369999999999997,27.21,41.42,12.46,12.645,12.49,11.76,12.375,12.26,13.415,12.59
tre animali a rischio di estinzione,gpt,31.235,23.64,45.125,12.375,12.495000000000001,12.175,12.245000000000001,13.09,12.475,12.75,12.39
tre animali a rischio estinzione,gpt,29.895000000000003,29.295,40.805,12.43,12.585,12.385000000000002,12.075,12.965,12.23,12.850000000000001,12.47
tre animali in via di estinzione,gpt,27.775,23.674999999999997,48.555,12.54,12.585,12.155,12.39,12.91,12.52,12.635000000000002,12.26
trova 3 animali a rischio di estinzione,gpt,28.63,28.595,42.775000000000006,12.365,12.48,12.205,12.14,12.925,12.469999999999999,12.97,12.44
un bambino sano quanto pasti fa al giorno,gpt,38.55,25.884999999999998,35.565,12.55,12.33,12.575,11.91,12.435,12.615,13.105,12.48
un fantasma delle montagne foto,gpt,31.38,33.455,35.165,11.79,12.184999999999999,12.845,11.815,12.614999999999998,12.530000000000001,13.29,12.925
vulcano attivo piu atlantico,gpt,35.14,32.265,32.59,12.190000000000001,12.364999999999998,12.52,12.015,12.629999999999999,12.469999999999999,12.885,12.925
wwf in via di estinzione,gpt,30.93,24.375,44.695,12.215,12.344999999999999,12.11,12.254999999999999,12.77,12.585,13.19,12.53
zigurat,gpt,34.900000000000006,24.8,40.30500000000001,12.135000000000002,12.565000000000001,12.274999999999999,11.920000000000002,12.525,12.2,13.66,12.73
i vantaggi della dieta mediterranea,gpt,31.72,24.17,44.115,12.34,12.41,12.29,11.934999999999999,12.684999999999999,12.485,13.265,12.594999999999999
il leopardo delle nevi e invertebrato o vertebrato,gpt,25.865000000000002,25.34,48.790000000000006,12.469999999999999,12.57,12.615,12.185,12.715,12.315000000000001,12.675,12.46
chi era san giuseppe,gpt,28.975,23.265,47.754999999999995,12.81,12.615,12.17,12.205,12.335,12.45,13.04,12.370000000000001
come e nata la festa del papa,gpt,29.990000000000002,23.875,46.135,12.835,12.58,12.48,11.844999999999999,12.305,12.565000000000001,12.965,12.425
come possiamo aiutare gli animali in estinzione,gpt,28.29,23.6,48.11,12.23,12.41,12.185,12.36,12.815000000000001,12.585,12.940000000000001,12.485
come si formano i vulcani,gpt,31.724999999999998,26.17,42.105,12.335,12.245000000000001,12.52,12.175,12.715,12.559999999999999,12.84,12.614999999999998
come si localizza un punto su una mappa,gpt,35.5,27.405,37.095,12.18,12.19,12.33,12.0,12.555,12.254999999999999,13.46,13.03
come si sviluppa un tornado,gpt,31.085,32.05,36.86,12.27,12.375,12.365,12.030000000000001,13.100000000000001,12.625,12.559999999999999,12.675
come si sviluppa un tornado e i suoi effetti,gpt,30.78,33.25,35.97,12.315000000000001,12.355,12.555,11.934999999999999,13.005,12.43,12.72,12.68
come si trova un punto su una mappa,gpt,36.64,26.43,36.93,12.155000000000001,12.059999999999999,12.54,11.785,12.54,12.375,13.46,13.095
come viene classificato il leopardo delle nevi,gpt,27.939999999999998,31.33,40.724999999999994,12.344999999999999,12.59,12.309999999999999,12.16,12.905000000000001,12.425,12.885000000000002,12.385000000000002
cosa possiamo fare per aiutare le specie in estinzione,gpt,30.865000000000002,26.025,43.11,12.219999999999999,12.370000000000001,12.01,12.325,12.875,12.594999999999999,13.14,12.46
cosa possiamo fare per aiutare le specie in via di estinzione,gpt,31.035,21.645,47.32,12.18,12.21,12.120000000000001,12.254999999999999,12.77,12.61,13.205,12.645
il mostro nero e un tornado,gpt,31.245,38.695,30.060000000000002,12.02,12.475000000000001,12.379999999999999,12.094999999999999,12.765,12.614999999999998,13.135,12.515
il mostro nero tornado che cos Ã¨,gpt,30.9,28.015,41.084999999999994,12.29,12.46,12.105,12.235,12.645,12.545,13.219999999999999,12.51
quali cibi forniscono carboidrati,gpt,32.93,27.775,39.295,12.675,12.559999999999999,12.675,11.92,12.455,12.395,12.98,12.34
quali sono due ingredienti del dolce tipico della festa del papa,gpt,35.625,31.009999999999998,33.365,13.030000000000001,12.73,12.675,11.965,12.27,12.485,12.785,12.055
quali sono gli altri nomi del tornado,gpt,32.84,33.980000000000004,33.18,12.46,12.515,12.629999999999999,11.675,12.95,12.385,12.57,12.815
quali sono i tipi di eruzione,gpt,29.814999999999998,23.475,46.71,12.46,12.455,12.49,12.08,12.915,12.219999999999999,12.614999999999998,12.765
quali sono le coordinate geografiche,gpt,36.575,23.09,40.335,12.190000000000001,12.415,12.605,11.879999999999999,12.504999999999999,12.3,13.295,12.809999999999999
quali sono le regole del basket,gpt,30.93,25.060000000000002,44.015,12.825,12.48,12.855,11.85,12.399999999999999,12.145,12.965,12.469999999999999
quali sono le regole del tennis,gpt,30.064999999999998,26.795,43.135000000000005,12.48,12.504999999999999,12.780000000000001,11.665,12.375,12.28,13.265,12.65
quando e nato il tennis,gpt,29.7,22.025,48.275,12.625,12.565000000000001,12.485,11.975,12.344999999999999,12.36,13.14,12.5
quanti esemplari di leopardo delle nevi sono rimasti,gpt,28.68,33.129999999999995,38.19,12.185,12.055,12.280000000000001,11.89,12.695,12.43,13.645,12.82
quanti esemplari rimangono di leopardo delle nevi,gpt,27.095,35.45,37.455,12.344999999999999,12.344999999999999,12.469999999999999,11.735,12.440000000000001,12.4,13.515,12.75
quanti giocatori ci sono in ogni squadra di basket,gpt,27.6,28.555,43.845,13.18,12.504999999999999,13.11,11.605,12.155000000000001,12.2,12.774999999999999,12.465
quanti sono i fantasmi delle montagne,gpt,23.225,28.14,48.635,6.235,6.45,6.015,6.105,6.16,5.935,6.785,6.315
tre animal a rischio estinzione,gpt,27.555,29.255000000000003,43.195,12.48,12.545,12.455,12.26,12.895,12.365,12.614999999999998,12.395
trova tre animali a rischio di estinzione,gpt,28.195,24.755,47.055,12.49,12.594999999999999,12.18,12.34,12.985,12.469999999999999,12.685,12.254999999999999
velociraptor dove e quando e vissuto,gpt,33.475,30.810000000000002,35.709999999999994,12.155,12.36,12.23,11.835,12.555,12.405,13.605,12.86
esemplari fantasma delle montagne,gpt,27.005000000000003,39.205,33.795,11.985,12.309999999999999,12.899999999999999,11.645,12.515,12.32,13.41,12.915
leopardo delle nevi,gpt,29.125,27.615000000000002,43.260000000000005,12.399999999999999,12.355,12.315,12.155000000000001,12.815,12.61,12.965,12.375
leopardo delle nevi classificazione,gpt,30.265,29.16,40.56999999999999,12.475,12.46,12.275,12.32,12.675,12.565,12.95,12.29
altri nomi del tornado,gpt,33.325,31.875,34.795,12.36,12.575,12.45,11.84,12.975000000000001,12.495,12.510000000000002,12.805
animali a rischio di estinzione,gpt,27.025,25.875,47.095,12.265,12.425,12.325,12.11,12.99,12.515,12.895,12.48
azioni per evitare estinzione degli animali,gpt,28.86,23.700000000000003,47.44,12.2,12.295,12.145,12.235,12.8,12.655,13.170000000000002,12.5
che velcitÃ  puÃ² raggiungere un tornado,gpt,33.010000000000005,27.735,39.254999999999995,12.23,12.145,12.79,11.655000000000001,12.745000000000001,12.42,12.870000000000001,13.145
come aiutare gli animali in via di estinzion^?,gpt,29.66,24.055,46.285,12.18,12.22,12.129999999999999,12.265,12.765,12.65,13.280000000000001,12.510000000000002
come aiutare gli animali in via di estinzione?,gpt,31.119999999999997,22.72,46.165,12.275,12.25,12.075,12.295,12.85,12.6,13.235,12.425
come aiutare le specie in estinzione,gpt,32.61,23.53,43.855000000000004,12.165,12.305,12.18,12.185,12.805,12.49,13.315,12.555
come aiutare le specie in estinzione focus,gpt,32.55500000000001,26.134999999999998,41.31,12.105,12.275,12.235,12.08,12.844999999999999,12.51,13.42,12.535
come possiamo aiutare le specie in pericolo,gpt,29.020000000000003,24.615000000000002,46.364999999999995,12.14,12.305,12.155,12.17,12.915,12.545,13.27,12.5
come possiamo salvare gli animali quasi estinti,gpt,30.68,26.08,43.245,12.195,12.280000000000001,12.07,12.25,12.83,12.705,13.165,12.51
come si forma un tornado,gpt,34.8,30.854999999999997,34.345,12.205,12.36,12.405000000000001,12.055,12.985,12.530000000000001,12.81,12.655000000000001
la classificazione del leopardo delle nevi,gpt,30.509999999999998,27.494999999999997,41.995000000000005,12.370000000000001,12.45,12.385,12.205,12.835,12.52,12.83,12.405
mostro nero,gpt,27.715,39.625,32.665,12.08,12.67,12.135,12.445,12.955,12.75,12.97,12.004999999999999
qual Ã¨ il vulcano attivo piÃ¹ antico,gpt,32.239999999999995,24.615000000000002,43.15,12.42,12.54,12.33,12.015,12.82,12.434999999999999,12.97,12.469999999999999
quale tipologia di eruzione provoca piÃ¹ danni?,gpt,32.410000000000004,28.94,38.655,12.245000000000001,12.455,12.59,11.89,12.844999999999999,12.395,13.265,12.305
quali animali sono in via di estinzione,gpt,28.715,25.34,45.945,12.280000000000001,12.45,12.265,12.235,12.899999999999999,12.5,12.89,12.48
quali sono gli esemplari rimasti di fantasma ...,gpt,28.97,37.93,33.1,12.02,11.835,12.344999999999999,11.89,12.46,12.345,14.2,12.895
quando Ã¨ avvenuto il mostro nero,gpt,35.28,38.71,26.005,12.024999999999999,12.31,12.36,12.09,12.45,12.515,13.67,12.575
quante specie di leopardi delle nevi esistono,gpt,31.075000000000003,34.46,34.455,12.32,12.579999999999998,12.325,12.09,12.68,12.32,13.15,12.545
quanti esemplari sono rimasti di fantasma del...,gpt,26.5,54.685,18.815,6.22,6.185,6.21,5.8,6.25,6.24,6.855,6.245
quanti sono gli esemplari di leopardo delle nevi,gpt,28.225,31.119999999999997,40.655,12.105,12.445,12.254999999999999,12.175,12.915,12.395,13.184999999999999,12.515
quanti sono gli esemplari rimasti di fantasma ...,gpt,31.17,38.985,29.845,11.965,12.030000000000001,12.67,12.0,12.465,12.65,13.515,12.705
sinonimi del tornado,gpt,34.47,33.345,32.185,12.43,12.43,12.61,11.785,13.02,12.43,12.475,12.815
tigre bianca,gpt,35.045,26.060000000000002,38.894999999999996,12.195,12.445,12.34,12.325,12.71,12.379999999999999,13.185,12.415
velocitÃ  massima del tornado,gpt,35.739999999999995,27.65,36.61,12.129999999999999,12.01,12.56,11.96,12.855,12.59,13.059999999999999,12.835
velocitÃ  massima di un tornado,gpt,33.48,34.14,32.379999999999995,12.095,12.175,12.465,11.815000000000001,12.725,12.42,13.5,12.815000000000001
3 animali in estinzione,gpt,32.13,24.490000000000002,43.38,12.274999999999999,12.46,12.2,12.195,12.83,12.524999999999999,13.01,12.51
classificazione del leopardo delle nevi,gpt,29.07,30.534999999999997,40.394999999999996,12.335,12.485,12.33,12.14,12.96,12.465,12.91,12.370000000000001
classificazione leopardo delle nevi,gpt,29.46,29.83,40.71,12.434999999999999,12.53,12.21,12.295,12.73,12.575,12.975000000000001,12.24
come aiutarele specie in estinzione,gpt,31.715,23.945,44.335,12.105,12.254999999999999,12.14,12.085,13.025,12.605,13.235,12.55
come possiamo aiutare le specie in estinzione,gpt,31.91,23.979999999999997,44.11,12.184999999999999,12.21,12.09,12.245,12.865,12.53,13.36,12.51
come si chiama Monica,gpt,41.03,29.630000000000003,29.340000000000003,12.530000000000001,12.79,12.685,11.43,12.295,12.465,13.485,12.315000000000001
come si formano i vulcani?,gpt,31.544999999999998,23.939999999999998,44.510000000000005,12.445,12.455,12.42,12.305,12.815,12.48,12.54,12.54
come si trovano i vulcani?,gpt,30.83,26.085,43.085,12.18,12.425,12.325,11.985,12.870000000000001,12.615,13.065,12.530000000000001
come viene classificato il leopardo delle nevi?,gpt,25.884999999999998,29.72,44.394999999999996,12.585,12.52,12.295,12.235,12.75,12.690000000000001,12.675,12.25
cosa possiamo fare per aiutare le specie in es...,gpt,31.065,25.47,43.465,12.205,12.295000000000002,12.05,12.254999999999999,12.844999999999999,12.594999999999999,13.31,12.45
sviluppo di un tornado e i suoi effetti,gpt,32.47,28.055,39.475,12.2,12.325,12.355,12.04,12.96,12.489999999999998,12.945,12.690000000000001
tipo di eruzione piÃ¹ dannoso,gpt,32.125,29.5,38.375,12.215,12.48,12.59,11.86,12.86,12.515,13.04,12.445
tornado,gpt,33.39,26.3,40.305,12.185,12.375,12.42,12.065000000000001,12.965,12.495000000000001,12.885,12.615
tornado mostro nero,gpt,33.724999999999994,28.655,37.620000000000005,12.219999999999999,12.46,12.350000000000001,12.06,12.985,12.559999999999999,12.93,12.445
tornado veloce,gpt,33.885000000000005,30.625,35.489999999999995,12.18,12.32,12.425,11.985,12.885000000000002,12.645,12.94,12.614999999999998
tornado velocita,gpt,33.739999999999995,27.82,38.445,12.18,12.25,12.545,11.91,12.865,12.435,12.915,12.9
tornado velocita mostro nero,gpt,29.700000000000003,28.85,41.45,12.165,12.505,12.365,12.114999999999998,12.934999999999999,12.415,12.96,12.55
velocita tornado,gpt,35.3,26.54,38.165,12.379999999999999,12.094999999999999,12.665,11.795,12.945,12.45,12.7,12.965
vulcani tipologia di eruzioni danni,gpt,28.405,28.35,43.25,12.195,12.42,12.445,11.91,13.004999999999999,12.455,12.94,12.645
vulcano attivo antico,gpt,34.065,25.585,40.349999999999994,12.335,12.415,12.36,12.045,12.739999999999998,12.555,12.92,12.629999999999999
vulcano piÃ¹ antico attivo,gpt,32.335,26.5,41.165,12.280000000000001,12.455,12.275,12.059999999999999,12.7,12.535,13.085,12.61
