query,resp,IAS,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
un bambino sano quanto pasti fa al giorno,Un bambino sano quanto i pasti fa al giorno è un bambino che mangia molto e tiene un peso,Gemma,34.47,33.18,32.35,13.48,14.16,12.67,8.53,13.14,13.48,13.09,11.46
un fantasma delle montagne foto,Il fantasma delle montagne è un luogo di fama e mistero. Si dice che è il luogo in,Gemma,32.61,25.6,41.79,12.01,12.72,12.23,10.04,12.81,12.47,14.77,12.95
vulcano attivo piu atlantico,"Il mio cuore è più attivo del mare.

(My heart is more active than the sea.)",Gemma,30.08,25.87,44.06,15.1,12.25,12.42,9.13,13.05,14.53,12.53,10.99
wwf in via di estinzione,Ciao! Sono in grado di rispondere in italiano. Cosa posso fare per te oggi?,Gemma,30.17,37.65,32.19,11.25,12.35,12.45,10.95,12.1,12.93,15.48,12.48
zigurat,Ciao! Sono in grado di utilizzare il italiano. Qual'altra cosa posso fare per te oggi?,Gemma,32.07,33.51,34.42,10.83,12.13,11.35,10.59,12.57,13.0,17.07,12.46
i vantaggi della dieta mediterranea,"La dieta mediterranea offre diversi vantaggi per la salute, tra cui:

* **Migli",Gemma,36.24,15.39,48.38,12.82,13.74,10.87,8.14,13.44,12.6,16.77,11.63
il leopardo delle nevi e invertebrato o vertebrato,L'il leopardo delle nevi e invertebrato o vertebrato.,Gemma,17.27,39.51,43.22,14.16,12.07,12.21,11.39,15.15,11.36,9.12,14.55
chi era san giuseppe,"Ciao! Sono il san Giuseppe, il santo patrono della medicina e della famiglia.",Gemma,27.01,20.04,52.95,12.56,12.03,11.21,10.2,12.43,12.31,17.34,11.93
come e nata la festa del papa,La festa del papa è una festa religiosa che si celebra in Italia il 15 agosto.,Gemma,22.44,22.53,55.03,15.47,12.56,14.6,7.75,10.86,11.99,13.24,13.53
come possiamo aiutare gli animali in estinzione,"Come possiamo aiutare gli animali in estinzione, è un compito complesso e multidisciplinare che richiede",Gemma,29.27,35.86,34.87,11.42,11.8,10.52,12.14,12.91,14.85,13.98,12.37
come si formano i vulcani,"I'm not able to form opinions or engage in discussions in Italian, but I can provide information",Gemma,28.37,33.41,38.22,14.64,13.33,14.77,10.4,11.86,11.5,12.26,11.23
come si localizza un punto su una mappa,"Un punto su una mappa può essere localizzato in diversi modi, a seconda del tipo di mappa e",Gemma,29.43,31.09,39.49,10.66,11.08,13.33,8.87,13.44,11.27,15.74,15.61
come si sviluppa un tornado,Un tornado è un clima meteorologico con condizioni meteorologiche extreme che possono causare danni e morte,Gemma,20.81,38.18,41.01,11.04,10.65,12.71,9.89,15.0,15.25,10.89,14.58
come si sviluppa un tornado e i suoi effetti,Un tornado è un clima meteorologico forte e temporale che si forma quando un fronte di aria fred,Gemma,28.49,33.73,37.78,10.87,10.94,13.83,10.23,15.09,12.22,12.54,14.29
come si trova un punto su una mappa,"Un punto su una mappa è un punto di coordinate (x,y) in un piano cartesiano",Gemma,31.54,23.07,45.39,10.44,10.88,13.6,8.39,12.48,10.78,17.26,16.16
come viene classificato il leopardo delle nevi,Il leopardo delle nevi è un fiore pericoso e difficile da identificare. Si classificano,Gemma,25.49,30.69,43.82,12.27,11.3,11.54,11.31,13.44,13.61,14.37,12.17
cosa possiamo fare per aiutare le specie in estinzione,"Per aiutare le specie in estinzione, è importante concentrarsi su due aree principali: la protezione",Gemma,31.32,27.01,41.67,10.55,11.03,11.38,11.4,13.87,13.07,15.88,12.82
cosa possiamo fare per aiutare le specie in via di estinzione,"Per aiutare le specie in via di estinzione, è importante concentrarsi su due aree principali:",Gemma,29.94,25.68,44.38,10.77,11.49,11.92,10.83,13.07,13.52,15.6,12.8
il mostro nero e un tornado,"Il mostro nero e un tornado.

Il cielo è nero, e un tornado sta per form",Gemma,27.06,31.37,41.58,11.75,12.07,11.27,11.29,15.28,12.6,13.41,12.32
il mostro nero tornado che cos Ã¨,Il mostro nero torna che cos'Ã¨.,Gemma,25.23,35.89,38.88,10.9,13.43,9.86,12.5,15.57,13.42,15.56,8.76
quali cibi forniscono carboidrati,"I'm sorry, but I'm unable to provide dietary recommendations or opinions. I am a",Gemma,27.03,33.36,39.61,14.37,12.55,14.07,12.17,12.03,12.21,11.8,10.81
quali sono due ingredienti del dolce tipico della festa del papa,I due ingredienti principali del dolce tipico della festa del papa sono la ricotta e la cannella.,Gemma,27.24,25.31,47.45,14.8,13.72,12.74,11.12,11.83,12.19,13.55,10.06
quali sono gli altri nomi del tornado,"I non posso fornire informazioni su altri nomi di tornado, in quanto non ho accesso informazioni sul tema",Gemma,33.36,28.17,38.46,10.94,11.07,11.53,10.31,13.82,10.73,16.87,14.72
quali sono i tipi di eruzione,"I tipi di eruzione sono due:

1. **Eruzione formale:** è un",Gemma,27.45,22.36,50.2,12.19,9.59,11.99,11.24,15.48,11.35,11.33,16.83
quali sono le coordinate geografiche,"Le coordinate geografiche sono due numeri, un numero longitude e un numero latitude, che forniscono la",Gemma,34.68,21.36,43.96,10.97,11.25,12.32,7.95,11.51,11.01,18.27,16.73
quali sono le regole del basket,"I dettagli delle regole del basket non sono elencati nel testo, quindi non posso fornire una risposta",Gemma,28.5,25.68,45.81,12.85,11.16,13.04,10.08,10.81,10.98,16.63,14.44
quali sono le regole del tennis,I dettagli delle regole del tennis sono molto ampi e si dividono in due categorie principali: le,Gemma,31.98,22.36,45.67,18.25,11.79,17.95,8.94,9.09,10.31,10.74,12.93
quando e nato il tennis,"Quando è nato il tennis?

Il tennis è un gioco di tennis.",Gemma,23.38,21.48,55.14,16.99,12.3,17.13,8.57,9.5,10.38,12.3,12.84
quanti esemplari di leopardo delle nevi sono rimasti,"Non ho informazioni sul numero di esemplari di leopardo delle nevi, quindi non posso rispondere questa",Gemma,25.11,35.32,39.57,11.81,10.5,13.02,10.63,13.13,12.27,14.09,14.56
quanti esemplari rimangono di leopardo delle nevi,"Non ho informazioni sul numero di esemplari di leopardo delle nevi, quindi non posso rispondere questa",Gemma,25.11,35.32,39.57,11.81,10.5,13.02,10.63,13.13,12.27,14.09,14.56
quanti giocatori ci sono in ogni squadra di basket,"Non ho informazioni sul numero di giocatori in ogni squadra di basket, quindi non posso rispondere questa domanda.",Gemma,27.11,31.05,41.84,13.34,11.44,14.63,9.41,11.23,11.28,14.92,13.75
quanti sono i fantasmi delle montagne,I fantasmi delle montagne sono un'idea che si è evoluta nel corso dei secoli. I,Gemma,22.8,22.57,54.63,10.44,11.93,12.24,9.21,11.59,10.37,18.73,15.5
tre animal a rischio estinzione,"I tre animali a rischio estinzione sono il lupo, il tigre e il cervo.",Gemma,20.27,22.34,57.39,13.27,13.34,11.97,11.93,15.28,11.9,10.96,11.36
trova tre animali a rischio di estinzione,"I tre animali a rischio di estinzione sono:

1. La giraffa
2.",Gemma,19.59,28.06,52.35,12.84,13.07,11.51,12.19,15.2,12.51,11.17,11.5
velociraptor dove e quando e vissuto,"Il velociraptor era un animale molto veloce e vivendo nel periodo Cretaceo, circa 65",Gemma,35.3,27.98,36.72,11.32,12.34,12.15,10.49,13.52,14.17,14.77,11.24
esemplari fantasma delle montagne,"Le montagne, come spinte di cristallo, si ergevano in un mare di bianco e",Gemma,27.79,21.95,50.25,12.49,12.38,14.11,9.01,13.72,12.22,12.89,13.18
leopardo delle nevi,"Ciao! Sono il leopard delle nevi, un animale che vive nelle nevi e nelle foreste",Gemma,18.99,31.65,49.36,12.8,16.07,11.02,13.53,13.62,12.58,12.1,8.28
leopardo delle nevi classificazione,La classificazione delle nevi è un processo complesso e continuo che coinvolge un'ampia gamma,Gemma,31.5,24.92,43.58,10.36,11.52,10.2,11.5,11.84,13.5,15.9,15.19
altri nomi del tornado,"I am unable to provide responses in Italian, as I am not able to access external sources or translate",Gemma,22.65,29.22,48.13,14.31,12.89,14.54,11.04,12.06,11.35,12.27,11.55
animali a rischio di estinzione,"I animali sono un gruppo molto ampio e variato, con un'eccellente capacità di adatt",Gemma,43.01,18.28,38.71,12.39,12.03,10.54,12.38,12.72,13.06,15.86,11.01
azioni per evitare estinzione degli animali,I dettagli per la conservazione degli animali sono molto più ampi di quanto quello che hai fornito. Per,Gemma,37.36,20.65,41.98,12.97,12.45,9.3,14.6,13.7,13.8,12.52,10.66
che velcitÃ  puÃ² raggiungere un tornado,La velcitÃ  puÃ² raggiungere un tornado. Un tornado è un uragano molto potente,Gemma,36.3,27.3,36.4,10.55,10.5,12.04,10.98,15.7,12.63,12.19,15.42
come aiutare gli animali in via di estinzion^?,I would be happy to help the animals in via di estinzione! Is there anything I can,Gemma,26.78,29.88,43.35,14.03,13.39,11.12,10.58,14.03,13.43,12.48,10.95
come aiutare gli animali in via di estinzione?,I animali in via di estinzione necessitano di protezione e sostegno per poter essere salvati.,Gemma,23.76,26.81,49.42,12.47,12.81,11.7,11.06,13.86,12.12,14.02,11.95
come aiutare le specie in estinzione,I'm here to help protect and preserve the world's biodiversity. How can I assist you,Gemma,26.21,34.13,39.67,14.6,14.04,15.16,8.89,12.17,10.98,12.82,11.33
come aiutare le specie in estinzione focus,"Sono qui per aiutarti a far conoscere e a protegger le specie in estinzione.

",Gemma,38.82,26.89,34.29,11.1,11.03,11.58,12.72,13.36,11.75,15.24,13.21
come possiamo aiutare le specie in pericolo,"Come possiamo aiutare le specie in pericolo, è importante avere un'Übersicht generale delle principali aree di sostegno",Gemma,33.48,31.73,34.79,10.08,11.08,11.58,10.87,14.06,12.95,16.35,13.03
come possiamo salvare gli animali quasi estinti,"In questo contesto, ""gli animali quasi estinti"" significa ""the animals that are almost extinct"".",Gemma,31.42,31.51,37.07,12.79,13.23,12.4,11.67,11.93,13.61,13.25,11.11
come si forma un tornado,Un tornado è un clima meteorologico con condizioni meteorologiche extreme che possono causare danni e morte,Gemma,20.81,38.18,41.01,11.04,10.65,12.71,9.89,15.0,15.25,10.89,14.58
la classificazione del leopardo delle nevi,"Il termine ""classificazione del leopardo delle nevi"" non è un termine italiano, quindi non",Gemma,30.52,26.21,43.27,11.59,12.16,9.95,11.83,13.19,11.03,16.12,14.13
mostro nero,Ho letto il tuo messaggio in italiano. Cosa posso fare per te oggi?,Gemma,31.53,32.4,36.07,11.94,13.85,12.01,10.67,11.92,12.13,15.09,12.4
qual Ã¨ il vulcano attivo piÃ¹ antico,"Non ho informazioni sul vulcano attivo piÃ¹ antico, quindi non posso rispondere questa domanda.",Gemma,34.96,29.88,35.16,10.86,11.32,12.13,11.45,13.94,13.13,14.78,12.39
quale tipologia di eruzione provoca piÃ¹ danni?,Non ho la capacità di provare emozioni o di causare danni. Sono un modello linguistico e non,Gemma,31.24,32.62,36.13,10.43,9.45,10.68,10.12,13.49,14.92,16.64,14.26
quali animali sono in via di estinzione,"I dati sul numero di animali in via di estinzione non sono disponibili nel contesto, quindi non",Gemma,25.5,20.54,53.95,12.03,12.73,11.51,11.06,12.66,12.57,14.43,13.02
quali sono gli esemplari rimasti di fantasma ...,"Non ho informazioni sul contesto, quindi non posso fornire esempi di fantasma.",Gemma,36.99,24.07,38.94,10.19,10.83,11.35,10.81,12.78,11.54,18.03,14.48
quando Ã¨ avvenuto il mostro nero,"Quando è avvenuto il mostro nero?

Non ho informazioni sul contesto, quindi non posso rispondere",Gemma,30.23,33.46,36.31,10.62,11.85,11.19,12.14,13.87,13.13,16.07,11.13
quante specie di leopardi delle nevi esistono,"Le nevi non hanno un numero specifico di specie di leopardi, e non sono un gruppo di",Gemma,33.26,27.58,39.16,11.14,11.72,11.69,10.78,12.65,11.24,17.17,13.62
quanti esemplari sono rimasti di fantasma del...,"Non ho informazioni sul numero di ristampe di fantasma, quindi non posso rispondere questa domanda.",Gemma,28.15,33.34,38.5,10.31,11.16,13.63,9.87,12.62,11.95,16.04,14.41
quanti sono gli esemplari di leopardo delle nevi,"Non ho informazioni sul numero di esemplari di leopardo delle nevi, quindi non posso rispondere questa",Gemma,25.11,35.32,39.57,11.81,10.5,13.02,10.63,13.13,12.27,14.09,14.56
quanti sono gli esemplari rimasti di fantasma ...,"Non ho informazioni sul numero di esemplari rimasti di fantasma, quindi non posso rispondere questa domanda",Gemma,26.92,35.23,37.85,10.31,11.16,13.63,9.87,12.62,11.95,16.04,14.41
sinonimi del tornado,"I'm unable to provide a response in Italian, as I am unable to generate language in a",Gemma,20.27,26.82,52.92,14.52,13.15,14.18,11.57,13.19,10.88,9.49,13.01
tigre bianca,Ciao! Sono un modello linguistico di grande dimensione e sono in grado di utilizzare il italiano in tutte,Gemma,38.0,23.83,38.17,11.49,11.53,10.89,10.44,13.16,12.31,17.15,13.03
velocitÃ  massima del tornado,La velocità massima del tornado è di 250 chilometri per ora.,Gemma,31.92,30.46,37.62,11.64,11.85,13.82,8.8,15.41,11.31,12.26,14.91
velocitÃ  massima di un tornado,La velocità massima di un tornado è di circa 250 chilometri per ora.,Gemma,32.93,28.28,38.78,11.64,11.85,13.82,8.8,15.41,11.31,12.26,14.91
3 animali in estinzione,"I'm sorry, but I'm unable to generate responses in Italian or English. I can",Gemma,23.64,30.58,45.79,14.91,12.28,13.54,12.8,11.99,11.47,11.04,11.97
classificazione del leopardo delle nevi,"Il termine ""classificazione del leopardo delle nevi"" è un termine italiano che significa ""classi",Gemma,28.63,27.96,43.41,11.59,12.16,9.95,11.83,13.19,11.03,16.12,14.13
classificazione leopardo delle nevi,"La classificazione delle nevi è un processo complesso e continuo che involves diverse discipline, tra cui la",Gemma,27.87,30.12,42.01,9.75,11.52,10.72,12.22,12.37,13.99,14.82,14.62
come aiutarele specie in estinzione,I'm ready to assist you in protecting species in extinction. How can I help?,Gemma,27.55,29.78,42.67,14.56,12.91,13.72,9.59,11.88,11.65,13.12,12.57
come possiamo aiutare le specie in estinzione,"I'm unable to provide information or opinions on the endangerment of species, as I do not",Gemma,24.39,27.57,48.04,14.14,12.96,16.76,8.32,11.03,12.04,13.72,11.03
come si chiama Monica,"La sua nome è Monica.

In italiano, ""Monica"" è un nome comune per una donna",Gemma,35.72,23.28,40.99,12.44,14.01,11.48,11.13,12.02,12.18,15.65,11.09
come si formano i vulcani?,I'm not able to form opinions or engage in discussions about the formation of vulcani.,Gemma,30.06,28.19,41.75,13.87,13.36,14.17,9.59,11.13,12.71,13.51,11.65
come si trovano i vulcani?,"I'm not able to provide information in Italian, as I am an AI chatbot and do not",Gemma,25.87,29.05,45.08,14.31,12.89,14.54,11.04,12.06,11.35,12.27,11.55
come viene classificato il leopardo delle nevi?,"Il termine ""lepadotto delle nevi"" è un termine italiano che significa ""il piccolo leopard",Gemma,30.57,27.78,41.65,10.42,12.32,9.68,11.44,13.28,11.92,18.37,12.55
cosa possiamo fare per aiutare le specie in es...,"Per aiutarti a fare la differenza, potresti iniziare a descrivere le diverse attività che possono essere",Gemma,38.74,32.89,28.37,10.99,10.34,11.33,10.71,13.57,12.5,16.17,14.39
sviluppo di un tornado e i suoi effetti,Un tornado è un Huragano con una forma di forma e un'intensità molto alta. I,Gemma,38.55,23.48,37.96,12.29,12.79,10.79,11.12,14.91,11.83,13.7,12.57
tipo di eruzione piÃ¹ dannoso,La mia eruzione è piensa e non dannoso. Sono in grado di utilizzare il italiano,Gemma,26.93,28.06,45.01,10.65,11.87,10.6,11.77,14.35,13.2,15.08,12.48
tornado,"Il tornado è un clima meteorologico con condizioni meteorologiche extreme, come temperature e pressione, che",Gemma,21.91,32.06,46.03,11.15,11.54,13.82,10.18,15.39,11.68,11.27,14.98
tornado mostro nero,"Il cielo è nero come la notte.

(The sky is black as night.)",Gemma,32.91,21.66,45.43,13.33,11.57,13.97,8.06,13.85,13.11,14.28,11.84
tornado veloce,"Ho trovato un tornado veloce! Ma non posso mostrarti un video, o descrivere la sua forma",Gemma,34.27,28.93,36.79,11.52,11.43,13.21,10.55,14.79,12.1,14.12,12.28
tornado velocita,La tornado velocita è un'esplosione di vento che può causare danni e morte.,Gemma,23.76,41.9,34.34,11.83,11.95,12.76,8.99,15.5,14.35,11.04,13.58
tornado velocita mostro nero,"La tornado è un'onda meteorologica molto veloce, che può raggiungere velocità di up a 3",Gemma,32.31,27.11,40.58,11.05,10.91,13.8,9.74,14.57,12.67,13.6,13.65
velocita tornado,"La velocità del tornado è molto alta, e può raggiungere i 200 km/h.",Gemma,32.29,29.75,37.96,11.15,9.92,13.71,9.01,14.57,12.15,13.46,16.03
vulcani tipologia di eruzioni danni,I miei sentimenti sono di tipo naturale e non sono in grado di avere un tipo di eruzione,Gemma,34.28,34.38,31.34,10.79,12.1,12.95,10.01,13.89,12.01,15.54,12.71
vulcano attivo antico,Ho visto solo un breve messaggio in inglese. Cosa vuoi che faccia?,Gemma,33.07,39.57,27.35,11.61,11.42,12.98,11.05,11.99,12.78,14.71,13.47
vulcano piÃ¹ antico attivo,"Ho capito. Ora sarò in italiano.

Quale cosa posso fare per te oggi?",Gemma,27.0,41.24,31.76,11.93,14.24,11.95,11.17,11.5,12.51,14.72,11.98
 le conseguenze negative della distruzione della foresta amazzonica,La distruzione della foresta amazzonica ha delle conseguenze negative per l'ambiente e per le,Gemma,25.36,24.4,50.24,12.02,13.1,11.62,11.14,14.21,11.86,14.47,11.57
Dove si trova l isola di plastica,"L'isola di plastica si trova nel Mare del Sud, nell'Oceano Atlantico.",Gemma,25.58,27.4,47.02,12.73,13.49,14.71,7.62,12.84,12.53,13.56,12.53
Dove si trova l isola di plastica ,"L'isola di plastica si trova nel Mare del Sud, nell'Oceano Atlantico.",Gemma,25.58,27.4,47.02,12.73,13.49,14.71,7.62,12.84,12.53,13.56,12.53
I ghiacciai in via di estinzione,Ciao! Sono qui per aiutarti. Qual'altra cosa posso fare per te oggi?,Gemma,29.27,38.57,32.16,10.71,12.06,12.41,11.89,10.79,12.99,14.57,14.57
Il ghiacciaio piÅ« in via di estinzione,Il ghiacciaio pià in via di estinzione.,Gemma,14.0,14.16,71.84,12.29,12.29,12.35,9.91,14.75,11.91,12.28,14.23
Le regole per tenere le spiagge pulite,"Ok, understood. I will use only Italian language and refrain from using English unless necessary for programming.",Gemma,25.76,28.7,45.54,14.85,12.77,15.03,11.14,12.37,11.03,9.87,12.95
Le regole per tenere le spiagge pulite ,"Ok, understood. I will use only Italian language and refrain from using English unless necessary for programming.",Gemma,25.76,28.7,45.54,14.85,12.77,15.03,11.14,12.37,11.03,9.87,12.95
Le spiagge piÅ« piÃ¹ pulite,"Le spiagge piÅ« piÃ¹ pulite.

Le spiagge sono un fiore che",Gemma,30.07,13.13,56.8,14.39,13.09,15.57,8.49,10.43,13.46,13.07,11.49
Quale nome si usa per definire una personache ha a cuore l,"Un nome per definire una persona ha a cuore l'è ""anima"".",Gemma,34.4,23.19,42.41,13.12,12.87,11.79,10.63,11.81,13.83,14.87,11.08
perchÃ© gli orsi polari si stanno estinguendo,I see the polar bears swimming in the icy waters. They are slowly disappearing as the sun rises.,Gemma,21.84,26.94,51.22,15.05,12.92,17.55,6.86,10.38,12.01,13.86,11.37
perchÃ© gli orsi polari si stanno estinguendo ,I see the polar bears swimming in the icy waters. They are slowly disappearing as the sun rises.,Gemma,21.84,26.94,51.22,15.05,12.92,17.55,6.86,10.38,12.01,13.86,11.37
perchÃ© gli orsi polari si stanno estinguendo sito babbanas,Perch'i orsi polari si stanno estinguendo sito babbanas.,Gemma,30.9,25.01,44.08,15.08,15.66,8.23,11.39,14.47,13.65,7.25,14.27
BiodiversitÃ¡,La biodiversità è la varietà di specie e di habitat nella Terra. È un campo di ricerca inter,Gemma,26.98,20.78,52.24,12.26,11.89,12.78,10.71,12.94,11.62,15.06,12.74
CosÃ© il buco nel azono,"Il buco nel azono.

Il buco nel azono è un luogo dove il cielo",Gemma,38.82,30.36,30.82,12.65,12.84,13.95,8.39,12.69,12.63,14.18,12.67
Dove si trova lisola di plastica,"Non ho informazioni sul posto di un oggetto di plastica, quindi non posso rispondere questa domanda.",Gemma,35.19,31.52,33.29,11.19,12.13,14.22,9.58,12.22,11.78,16.0,12.88
Perche gli orsi polari diminuen,I sentimi un po' maledetto.,Gemma,14.66,62.45,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quanto psa lisola di plastica,Non ho la capacità di avere un senso dell'apprendimento e non posso rispondere questa domanda.,Gemma,35.89,36.01,28.1,11.3,11.26,11.29,10.88,12.34,12.57,17.4,12.96
Temperature estivepiu elevate del 2019,"Il 2019 è stato un anno molto caldo, con una media di temperatura di ",Gemma,38.46,37.14,24.4,11.56,10.57,12.31,9.3,13.09,13.57,14.89,14.72
Cose il buco nello zono?,Non ci sono buchi da trovare. Cosa posso fare per te oggi?,Gemma,33.19,42.57,24.24,10.22,7.27,12.82,10.21,13.89,14.11,17.41,14.06
Isola di plastica posto,Il posto del plastica è un problema globale che richiede un'azione internazionale. I paesi del mondo sono,Gemma,28.72,19.85,51.43,11.48,11.5,11.99,9.87,13.38,12.41,16.04,13.33
Isola diplastica cosÃ¨,Ciao! Sono in grado di utilizzare il italiano. Qual'altra cosa posso fare per te oggi?,Gemma,32.07,33.51,34.42,10.83,12.13,11.35,10.59,12.57,13.0,17.07,12.46
Lisola di plastica cosa Ã¨,"La plastica è un materiale che è stato utilizzato per diversi scopi, come la produzione di packaging,",Gemma,27.31,20.44,52.24,10.95,11.6,11.93,9.67,12.89,10.26,18.48,14.21
Nomi spiagge bandiera pulizia,Ciao! Sono un modello linguistico in italiano. Qual'altra cosa posso fare per te oggi?,Gemma,28.6,36.39,35.01,11.53,12.33,11.19,11.19,12.35,11.68,16.09,13.65
PerchÃ¨ gli orsi polari diminuiscono?,I orsi polari diminuiscono. Il cielo è più chiaro e le stelle più luminose,Gemma,42.06,20.03,37.91,12.49,11.3,10.92,9.48,12.52,13.41,16.79,13.08
Peso bottiglia di plastica   ,Il peso bottiglia di plastica è un argomento controverso e di difficile soluzione. I sostenitori,Gemma,38.59,27.3,34.1,11.32,11.92,12.57,9.8,12.5,12.89,16.01,13.0
Quale ghiacciaio si sta sciogliendosi in modo preoccupante,"Il mio compito è di fornire informazioni e risorse in italiano.

Il ghiacciaio si sta scio",Gemma,25.2,24.49,50.31,11.52,12.16,11.38,10.08,13.43,11.71,16.13,13.59
Spiagge con la bandiera della pulizia,"Le parole ""Spiagge con la bandiera della pulizia"" sono in italiano.",Gemma,30.44,24.83,44.73,13.18,15.09,12.69,9.92,12.2,11.7,14.88,10.33
 3 Spiagge con bandiera blu,Ciao! Sono in grado di utilizzare il italiano. Cosa posso fare per te oggi?,Gemma,30.66,33.36,35.98,10.83,12.13,11.35,10.59,12.57,13.0,17.07,12.46
Spiagge con bandiera blu,Ciao! Sono in grado di utilizzare il italiano. Cosa posso fare per te oggi?,Gemma,30.66,33.36,35.98,10.83,12.13,11.35,10.59,12.57,13.0,17.07,12.46
