query,source,query_len,topic,search_type
quanti esemplari rimangono di leopardo delle nevi,IT-Wizard,7,endangered animals,multisteps
quanti giocatori ci sono in ogni squadra di basket,IT-Wizard,9,sports,fact
quanti sono i fantasmi delle montagne,IT-Wizard,6,endangered animals,multisteps
tre animal a rischio estinzione,IT-Wizard,5,endangered animals,fact
trova tre animali a rischio di estinzione,IT-Wizard,7,endangered animals,fact
velociraptor dove e quando e vissuto,IT-Wizard,6,endangered animals,fact
esemplari fantasma delle montagne,IT-Suggeritti,4,endangered animals,fact
leopardo delle nevi,IT-Suggeritti,3,endangered animals,fact
leopardo delle nevi classificazione,IT-Suggeritti,4,endangered animals,fact
altri nomi del tornado,IT-Suggeritti,4,tornado,fact
animali a rischio di estinzione,IT-Suggeritti,5,endangered animals,fact
azioni per evitare estinzione degli animali,IT-Suggeritti,6,endangered animals,infosearch
che velcitÃ  puÃ² raggiungere un tornado,IT-Suggeritti,6,tornado,fact
come aiutare gli animali in via di estinzion^?,IT-Suggeritti,8,endangered animals,infosearch
come aiutare gli animali in via di estinzione?,IT-Suggeritti,8,endangered animals,infosearch
come aiutare le specie in estinzione,IT-Suggeritti,6,endangered animals,infosearch
come aiutare le specie in estinzione focus,IT-Suggeritti,7,endangered animals,infosearch
come possiamo aiutare le specie in pericolo,IT-Suggeritti,7,endangered animals,infosearch
come possiamo salvare gli animali quasi estinti,IT-Suggeritti,7,endangered animals,infosearch
come si forma un tornado,IT-Suggeritti,5,tornado,infosearch
la classificazione del leopardo delle nevi,IT-Suggeritti,6,endangered animals,fact
mostro nero,IT-Suggeritti,2,tornado,multisteps
qual Ã¨ il vulcano attivo piÃ¹ antico,IT-Suggeritti,7,volcanos,fact
quale tipologia di eruzione provoca piÃ¹ danni?,IT-Suggeritti,7,volcanos,multisteps
quali animali sono in via di estinzione,IT-Suggeritti,7,endangered animals,fact
quali sono gli esemplari rimasti di fantasma ...,IT-Suggeritti,8,endangered animals,multisteps
quando Ã¨ avvenuto il mostro nero,IT-Suggeritti,6,tornado,multisteps
quante specie di leopardi delle nevi esistono,IT-Suggeritti,7,endangered animals,multisteps
quanti esemplari sono rimasti di fantasma del...,IT-Suggeritti,7,endangered animals,multisteps
quanti sono gli esemplari di leopardo delle nevi,IT-Suggeritti,8,endangered animals,multisteps
quanti sono gli esemplari rimasti di fantasma ...,IT-Suggeritti,8,endangered animals,multisteps
sinonimi del tornado,IT-Suggeritti,3,tornado,fact
tigre bianca,IT-Suggeritti,2,endangered animals,fact
velocitÃ  massima del tornado,IT-Suggeritti,4,tornado,fact
velocitÃ  massima di un tornado,IT-Bambini,5,tornado,fact
3 animali in estinzione,IT-Bambini,4,endangered animals,fact
classificazione del leopardo delle nevi,IT-Bambini,5,endangered animals,fact
classificazione leopardo delle nevi,IT-Bambini,4,endangered animals,fact
come aiutarele specie in estinzione,IT-Bambini,5,endangered animals,infosearch
come possiamo aiutare le specie in estinzione,IT-Bambini,7,endangered animals,infosearch
come si chiama Monica,IT-Bambini,4,,unknown
come si formano i vulcani?,IT-Bambini,5,volcanos,opensearch
come si trovano i vulcani?,IT-Bambini,5,volcanos,opensearch
come viene classificato il leopardo delle nevi?,IT-Bambini,7,endangered animals,fact
cosa possiamo fare per aiutare le specie in es...,IT-Bambini,9,endangered animals,infosearch
sviluppo di un tornado e i suoi effetti,IT-Bambini,8,tornado,opensearch
tipo di eruzione piÃ¹ dannoso,IT-Bambini,5,volcanos,multisteps
tornado,IT-Bambini,1,tornado,fact
tornado mostro nero,IT-Bambini,3,tornado,multisteps
tornado veloce,IT-Bambini,2,tornado,fact
tornado velocita,IT-Bambini,2,tornado,fact
tornado velocita mostro nero,IT-Bambini,4,tornado,multisteps
velocita tornado,IT-Bambini,2,tornado,fact
vulcani tipologia di eruzioni danni,IT-Bambini,5,volcanos,multisteps
vulcano attivo antico,IT-Bambini,3,volcanos,fact
vulcano piÃ¹ antico attivo,IT-Bambini,4,volcanos,fact
