QID,Query,Prompt Type,IAS,Resp,date_generated
qGEN33,sviluppo di un tornado e i suoi effetti,General,Gemma,"## Lo sviluppo di un tornado e i suoi effetti

Un tornado è una tempesta atmosferica con",2025-02-12
qGEN34,la piramide egizia piÃ¹ alta,General,Gemma,"La piramide di Cheope è la più alta. 
",2025-02-12
qGEN35,mostro nero (uragano),General,Gemma,"Il mostro nero, o uragano, è un'immagine potente e suggestiva. 

",2025-02-12
qGEN36,sviluppo del tornado,General,Gemma,Il tornado si sviluppa da un'ampia serie di eventi meteorologici complessi. Ecco,2025-02-12
qGEN37,3 animali in estinzione,General,Gemma,"Ecco tre animali in estinzione:

* **Elefante africano**
* **Tigre",2025-02-12
qGEN38,classificazione del leopardo delle nevi,General,Gemma,"Ecco la classificazione del leopardo delle nevi:

* **Kingdom:** Animalia
* **",2025-02-12
qGEN39,come possiamo aiutare le specie in estinzione,General,Gemma,Possiamo aiutare le specie in estinzione con azioni concrete e a lungo termine. Ecco alcuni esempi,2025-02-12
qGEN40,quanti sono gli esemplari rimasti del fantasma delle montagne,General,Gemma,"Non ho informazioni su quanti esemplari rimangono del ""Fantasma delle Montagne"". 

",2025-02-12
qGEN41,come viene classificato il leopardo delle nevi,General,Gemma,"Il leopardo delle nevi è classificato come **Panthera uncia**. 
",2025-02-12
qGEN42,cosa possiamo fare per aiutare le specie in estinzione,General,Gemma,"Possiamo fare molto per aiutare le specie in estinzione. Ecco alcune azioni concrete:

**",2025-02-12
qGEN43,cosa possiamo fare per aiutare le specie in estinzione?quali sono i rischi e come sia possibile aiutare la specie in via di estinzioni,General,Gemma,"Per aiutare le specie in estinzione, dobbiamo agire su diversi fronti. Ecco alcuni esempi",2025-02-12
qGEN44,fantasmi delle montagne,General,Gemma,"Le montagne, antiche e impervie, custodiscono segreti.  Un vento gelido",2025-02-12
qGEN45,trova tre animali a rischio di estinzione,General,Gemma,"Ecco tre animali a rischio di estinzione:

* **Elefante africano**
* **",2025-02-12
qGEN46,classificazione leopardo delle nevi,General,Gemma,"Il leopardo delle nevi è classificato come:

* **Classe:** Mammalia
* **",2025-02-12
qGEN47,come aiutare le specie in estinzione,General,Gemma,"Ecco alcuni modi in cui possiamo aiutare le specie in estinzione:

**Protezione dell'",2025-02-12
qGEN48,come aiutarele specie in estinzione,General,Gemma,"Ecco alcuni modi per aiutare le specie in estinzione:

**Protezione dell'habitat:**",2025-02-12
qGEN49,esemplari rimasti del fantasma delle nevi,General,Gemma,"Ecco alcuni esempi di rimaste del fantasma delle nevi:

* **La nebbia si",2025-02-12
qGEN50,esemplari rimasti di fantasma delle montagne,General,Gemma,"Ecco alcuni esempi di rimaste di ""Fantasma delle Montagne"":

* **La leggenda",2025-02-12
qGEN51,pericoli per le specie animali,General,Gemma,"Ecco alcuni dei pericoli per le specie animali:

* **Cambiamento climatico:** Il",2025-02-12
qGEN52,fantasma delle montagne specie rimaste,General,Gemma,"I  fantasmi delle montagne, specie rimaste... 

**...**  
",2025-02-12
qGEN53,fantasma delle montagne wwf,General,Gemma,"Il Fantasma delle Montagne è un wrestler di WWE. 👻⛰️ 
",2025-02-12
qGEN54,leopardo delle nevi,General,Gemma,Il leopardo delle nevi è un felino selvatico incredibilmente raro e affascinante,2025-02-12
qGEN55,tre  animali a rischio estinzione,General,Gemma,"Ecco tre animali a rischio estinzione:

1. **Elefante africano**
2.",2025-02-12
qGEN56,qual Ã¨ il vulcano attivo piÃ¹ antico del mondo?,General,Gemma,"Il vulcano attivo più antico del mondo è il **Mauna Kea** in Hawaii. 
",2025-02-12
qGEN57,tipo di eruzione piÃ¹ dannoso  ,General,Gemma,"La eruzione più dannosa è quella **""Stromboli""**. 

Ecco perché:

",2025-02-12
qGEN58,in quale stato si trova il vulcano piÃ¹ piccolo ,General,Gemma,"Il vulcano più piccolo del mondo si trova in **Italia**, nello stato di **Sicilia**.",2025-02-12
qGEN59,qual Ã¨ il vulcano piÃ¹ attivo piÃ¹ antico ,General,Gemma,"Il vulcano più attivo e più antico del mondo è il **Mauna Loa**, sull'isola",2025-02-12
qGEN60,quale tipologia di eruzione provoca piÃ¹ danni,General,Gemma,Le eruzioni vulcaniche di tipo **Plinian** sono generalmente considerate le più perico,2025-02-12
qGEN61,vulcani tipologia di eruzioni danni,General,Gemma,"Ecco una descrizione dei tipi di eruzioni vulcaniche e dei danni che possono causare:

",2025-02-12
qGEN62,dove si trova il Vulcano Piu  piccolo ,General,Gemma,"Il vulcano più piccolo si trova in **Sicilia**, in una zona chiamata **Etna**.",2025-02-12
qGEN63,vulcano piÃ¹ antico attivo,General,Gemma,"Il vulcano più antico attivo è il **Stromboli**, situato sull'isola italiana di Stromboli",2025-02-12
qGEN64,come si formano i vulcani,General,Gemma,I vulcani si formano grazie a un processo complesso che coinvolge la **concentrazione di,2025-02-12
qGEN65,un bambino sano quanto pasti fa al giorno,General,Gemma,Un bambino sano dovrebbe mangiare circa **1000-1500 calorie al giorno**.,2025-02-12
qGEN66,quali sono i punti cardinali,General,Gemma,"I punti cardinali sono:

* **Nord**
* **Sud**
* **Est",2025-02-12
qGEN67,quali sono le cose piÃ¹ importanti della moto,General,Gemma,"Le cose più importanti della moto sono:

* **Libertà:** La moto ti permette di esplor",2025-02-12
qGEN68,quando inizia il periodo paleolitico e neolitico,General,Gemma,"Il periodo Paleolitico inizia circa **1,8 milioni di anni fa** e si estende",2025-02-12
qGEN69,zigurat,General,Gemma,"Zigurat 🇮🇹 
",2025-02-12
qGEN70,trova 3 animali a rischio di estinzione,General,Gemma,"Ecco 3 animali a rischio di estinzione:

1. **Elefante africano**
",2025-02-12
qGEN71,quali sono i punti cardinali?,General,Gemma,"I punti cardinali sono:

* **Nord**
* **Sud**
* **Est",2025-02-12
qGEN72,quali sono gli animali in estinzione?,General,Gemma,"Ecco alcuni animali in estinzione:

* **Elefante africano:**  La perdita di habitat",2025-02-12
qGEN73,dove si trova la piramide di cheope,General,Gemma,"La Piramide di Cheope si trova a **Giza, in Egitto**. 
",2025-02-12
qGEN74,immagine piramide egizia,General,Gemma,"[Immagine di una piramide egizia] 
",2025-02-12
qGEN75,gli animali in estinzione,General,Gemma,"Gli animali in estinzione.  Un problema grave per l'ambiente. 

Ecco alcuni",2025-02-12
qGEN76,i vulcani,General,Gemma,"I vulcani sono montagne che si formano da eruzioni vulcaniche. 🌋 

",2025-02-12
qGEN77,i vulcani piÃ¹ grandi del mondo,General,Gemma,"I vulcani più grandi del mondo sono:

* **Mauna Loa:** Situato sull'",2025-02-12
qGEN78,la piramide piÃ¹ alta,General,Gemma,"La piramide più alta è la Piramide di Cheope a Giza. 
",2025-02-12
qGEN79,punti cardinali,General,Gemma,"Ecco i punti cardinali:

* **Nord**
* **Sud**
* **Est",2025-02-12
qGEN80,qual e il vulcano piÃ¹ grande,General,Gemma,"Il vulcano più grande del mondo è il **Mauna Loa**, sull'isola di Hawaii.",2025-02-12
qGEN81,qual Ã¨ la piramide egizia piÃ¹ alta?,General,Gemma,La piramide più alta dell'antico Egitto è la **Piramide di Khufu** a,2025-02-12
qGEN82,come scaricare musica da youtube,General,Gemma,"Mi dispiace, ma non posso fornirti informazioni su come scaricare musica da YouTube. La mia",2025-02-12
qGEN83,chi e il padre di micerino,General,Gemma,"Il padre di Micerino è **il Conte di  ** 
",2025-02-12
qGEN84,come venivano costruite le piramidi egizie,General,Gemma,Le piramidi egizie venivano costruite con un processo complesso e laborioso che richiedeva,2025-02-12
qGEN85,qual e la piramide egizia piu alta,General,Gemma,La piramide più alta dell'antico Egitto è la **Piramide di Khufu** a,2025-02-12
qGEN86,quanto e alta la tomba del padre di micerino,General,Gemma,La tomba del padre di Micerino è alta **[inserire altezza in metri]** metri.,2025-02-12
qGEN87,quanto e alta la tomba di cheope,General,Gemma,"La tomba di Cheope è alta circa 147 metri. 
",2025-02-12
qGEN88, quali sono le regole principali della pallavolo,General,Gemma,"Ecco le regole principali della pallavolo:

**Obiettivo:**

* Il team che vince il",2025-02-12
qGEN89,la regione con piu` squadre di pallavolo,General,Gemma,"La regione con più squadre di pallavolo in Italia è **Lombardia**. 
",2025-02-12
qGEN90,qual e la piramide egizia piu` alta?,General,Gemma,La piramide più alta dell'antico Egitto è la **Piramide di Khufu** a,2025-02-12
qGEN91,quanti giocatri ci sono in ogni squadra di ginnastica,General,Gemma,"In una squadra di ginnastica, ci sono **6** atleti. 
",2025-02-12
qGEN92,quanti giocatri ci sono in ogni squadra di pallavolo,General,Gemma,"In una squadra di pallavolo, ci sono **6 giocatori** in campo. 
",2025-02-12
qGEN93,regioni italÃ©8iane  con piu` squadre di pallavolo,General,Gemma,"Ecco le regioni italiane con più squadre di pallavolo:

* **Lombardia:** Con diverse",2025-02-12
qGEN94, quanti leopardi delle nevi sono rimasti,General,Gemma,"Non posso rispondere a questa domanda. 

La mia funzione è quella di fornire informazioni e completare",2025-02-12
qGEN95,cosa possiamo fare per salvare gli animali in estinzione,General,Gemma,"Per salvare gli animali in estinzione, dobbiamo agire su diversi fronti:

**1",2025-02-12
qGEN96,cosa sono fantasma delle montagne,General,Gemma,"I ""Fantasmi delle Montagne"" sono creature mitologiche che popolano le montagne italiane, spesso",2025-02-12
qGEN97,classificazione del Leopardo delle nevi,General,Gemma,"Il Leopardo delle nevi è un animale **maestoso e affascinante**, apparten",2025-02-12
qGEN98,classificazione del panthera uncia,General,Gemma,"## Classificazione del Panthera uncia

* **Kingdom:** Animalia
* **Phy",2025-02-12
qGEN99,classificazione del panthera uncia in italiano,General,Gemma,"Il Panthera uncia è classificata come **specie estinta**. 

Ecco la sua classific",2025-02-12
qGEN100,come possiamo aiutare le specie in pericolo,General,Gemma,"Possiamo aiutare le specie in pericolo con diverse azioni, sia a livello individuale che collettivo. Ecco",2025-02-12
qGEN101,come si puo aiutare le specie in pericolo,General,Gemma,"Ecco alcuni modi in cui si può aiutare le specie in pericolo:

**A livello individuale:**

",2025-02-12
qGEN102,fantasma della montagna,General,Gemma,"Il vento sibilava tra le rocce, sussurrando storie di un fantasma che vaga tra",2025-02-12
qGEN103,tre animali in via di estinzione,General,Gemma,"Ecco tre animali in via di estinzione:

* **L'elefante africano**
",2025-02-12
qGEN104,classificazione delleopardo delle nevi,General,Gemma,"Ecco una classificazione delle specie di orso delle nevi:

**Orsi delle nevi",2025-02-12
qGEN105,cosa fa l IUCN per aiutare gli animali in via di estinzione,General,Gemma,"L'IUCN, l'organizzazione internazionale per la conservazione della natura, lavora per aiutare gli animali in",2025-02-12
qGEN106,tre animali a rischio estinzione,General,Gemma,"Ecco tre animali a rischio estinzione:

* **Elefante africano**
* **Tig",2025-02-12
qGEN107,wwf in via di estinzione,General,Gemma,"WWF in Via di Estinzione 

**WWF (World Wide Fund for Nature)**, in",2025-02-12
qGEN108,FANTASMA DELLE MONTAGNE ,General,Gemma,"## Fantasma delle Montagne

**Un'ombra si muove tra le cime innevate.**

",2025-02-12
qGEN109,quanti esemplari di leopardo delle nevi sono rimasti,General,Gemma,"La popolazione di leopardo delle nevi è in calo, ma non è ancora chiaro quanti esemplari",2025-02-12
qGEN110,quanti specie di FANTASMA DELLE MONTAGNE sono rimasti,General,Gemma,"Non esiste una risposta precisa a questa domanda. 

Il concetto di ""fantasma delle montagne""",2025-02-12
qGEN111,qual e la regione con piÃ¹ squadre di calcio d italia,General,Gemma,"La regione con più squadre di calcio in Italia è **Lombardia**. 
",2025-02-12
qGEN112,che velocitÃ  viaggia un tornado,General,Gemma,Un tornado può raggiungere velocità di **fino a 300 chilometri all'ora**. ,2025-02-12
qGEN113,cosa e il tornado mostro nero,General,Gemma,"Il ""Tornado mostro nero"" è un'immagine che evoca un'idea di forza e",2025-02-12
qGEN114,padre di Micerino,General,Gemma,"Padre di Micerino: **Micerino** 
",2025-02-12
qGEN115,quanto Ã¨ alta la tomba di Chefren,General,Gemma,"La tomba di Chefren è alta circa 140 metri. 
",2025-02-12
qGEN116, Chi era il padre di Micerino  ?,General,Gemma,"Il padre di Micerino era **Guglielmo**. 
",2025-02-12
qGEN117, Il figlio di Chefren,General,Gemma,"Il figlio di Chefren è **Mernefer**. 
",2025-02-12
qGEN118, Il padre di Micerino,General,Gemma,"Il padre di Micerino è **un personaggio importante nella storia**. 

Forse ti interessa",2025-02-12
qGEN119, Quanto e alta la tomba di Cheope?,General,Gemma,"La tomba di Cheope è alta circa 147 metri. 
",2025-02-12
qGEN120, Si e scoperto il padre di Micerino?,General,Gemma,"Il padre di Micerino è stato svelato! 🤫  
",2025-02-12
qGEN121,Come si costruivano le piramidi Egizie?,General,Gemma,Le piramidi egizie sono state costruite con un processo complesso e laborioso che richiedeva,2025-02-12
qGEN122,Dove si trova la piramide di Cheope?,General,Gemma,"La piramide di Cheope si trova a **Giza, in Egitto**. 
",2025-02-12
qGEN123,Quale e la piramide egizia piu` alta ?,General,Gemma,La piramide più alta dell'antico Egitto è la **Piramide di Khufu** a,2025-02-12
qGEN124,Quanto era alta la tomba del padre di Micerino?,General,Gemma,"La tomba del padre di Micerino era alta **due metri**. 
",2025-02-12
qGEN125,come si costruisce una piramide egizia?,General,Gemma,"Ecco una guida su come costruire una piramide egizia, usando solo l'italiano:

",2025-02-12
qGEN126,come si costruiscono delle piramidi Egizie?,General,Gemma,"Ecco una spiegazione in italiano su come costruire una piramide egizia:

**Materiali:**",2025-02-12
qGEN127,qual e la squadra piu anticha del calcio,General,Gemma,"La squadra più antica del calcio è **A.C. Milan**. 
",2025-02-12
qGEN128,quanti sono gli esemplari rimasti di fantasma delle montagne?,General,Gemma,"Non ho informazioni su quanti esemplari rimangono di ""Fantasma delle Montagne"". 

",2025-02-12
qGEN129,tre animali a rischio di estinzione,General,Gemma,"Ecco tre animali a rischio di estinzione:

1. **Elefante africano**
2",2025-02-12
qGEN130,un fantasma delle montagne foto,General,Gemma,"Ecco un'idea per una foto di un fantasma delle montagne:

**Immagine:** Una silhouette",2025-02-12
qGEN131,che velocita puo raggiungere un tornado,General,Gemma,Un tornado può raggiungere velocità di **fino a 300 chilometri all'ora**. ,2025-02-12
qGEN132,come erano costruite le piramidi egizie,General,Gemma,Le piramidi egizie erano costruite con un processo complesso e laborioso che richiedeva l,2025-02-12
qGEN133,cosa possiamo fare per salvare gli animali a rischio di estintione,General,Gemma,"Per salvare gli animali a rischio di estinzione, possiamo agire su diversi fronti:

",2025-02-12
qGEN134,quale la piramide egizia piu alta,General,Gemma,La piramide più alta dell'antico Egitto è la **Piramide di Khufu** a,2025-02-12
qGEN135,quanto Ã¨ alta la tomba del padre di micerino,General,Gemma,"La tomba del padre di Micerino è alta **10 metri**. 
",2025-02-12
qGEN136,vulcano attivo piu atlantico,General,Gemma,"Il vulcano più attivo nell'Atlantico è il **Stromboli**, situato in Italia. ",2025-02-12
qGEN137, Micerino,General,Gemma,"Micerino! 🇮🇹 
",2025-02-12
qGEN138,come si fa una piramide egizia,General,Gemma,"Ecco una guida su come costruire una piramide egizia, seguendo le regole di costruzione tradizionali",2025-02-12
qGEN139,qual Ã© la piramide egizia piu alta,General,Gemma,La piramide più alta dell'antico Egitto è la **Piramide di Khufu** a,2025-02-12
qGEN140,quanto Ã¨ alta la tomba del padre di  micerino,General,Gemma,La tomba del padre di Micerino è alta **[inserisci altezza in metri]** metri.,2025-02-12
qGEN141,quanto Ã¨ alta la tomba del padre micerino,General,Gemma,"La tomba del padre Micerino è alta circa 1,5 metri. 
",2025-02-12
qGEN142,quanto Ã¨ alta la tomba di micerino,General,Gemma,"La tomba di Micerino è alta circa 1,5 metri. 
",2025-02-12
qGEN143,quanto Ã©l alta la tomba di micerino,General,Gemma,"La tomba di Micerino è alta circa 1,5 metri. 
",2025-02-12
qGEN144,CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General,Gemma,Un tornado può raggiungere velocità di **fino a 300 chilometri all'ora**. ,2025-02-12
qGEN145,QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General,Gemma,"Ecco alcuni altri nomi per un tortano:

* **Torta di pasta**
* **",2025-02-12
qGEN146, esemplari fantasma delle montagne,General,Gemma,"Ecco alcuni esempi di fantasmi delle montagne:

**1. Il fantasma del valletto:** Un",2025-02-12
qGEN147,azioni per evitare estinzione degli animali,General,Gemma,"Ecco alcune azioni per evitare l'estinzione degli animali:

**Protezione dell'habitat:**",2025-02-12
qGEN148,la classificazione del leopardo delle nevi,General,Gemma,"Il leopardo delle nevi (Panthera uncia) è classificato come:

* **Classe",2025-02-12
qGEN149,quali sono  gli esemplari rimasti di fantasma delle nevi,General,Gemma,"Ecco alcuni esemplari rimasti di Fantasma delle Nevi:

* **Fantasma delle",2025-02-12
qGEN150,quanti sono gli esemplari rimasti di fantasma delle nevi,General,Gemma,"Non ho informazioni su quanti esemplari rimangono di ""Fantasma delle Nevi"". ",2025-02-12
qGEN151,tigre bianca,General,Gemma,"Il tigrato bianco è un'immagine affascinante e misteriosa. 
",2025-02-12
qGEN152,come si formano i vulcani ,General,Gemma,I vulcani si formano grazie a un processo complesso che coinvolge la **concentrazione di,2025-02-12
qGEN153,come si Ã© formato un vulcano,General,Gemma,"Un vulcano si forma quando la **magma**, una sorta di lava liquida e calda, si",2025-02-12
qGEN154,in quale stato si trova il vulcano piÃ¹ piccolo,General,Gemma,"Il vulcano più piccolo del mondo si trova in **Italia**, nello stato di **Sicilia**.",2025-02-12
qGEN155,qual Ã¨ il vulcano attivo piÃ¹ antico ,General,Gemma,"Il vulcano attivo più antico del mondo è il **Mauna Kea** in Hawaii. 
",2025-02-12
qGEN156,come aiutare gli animali in via di estinzion^?,General,Gemma,"Ecco alcuni modi in cui puoi aiutare gli animali in via di estinzione:

**Azione",2025-02-12
qGEN157,come viene classificato il leopardo delle nevi ?,General,Gemma,"Il leopardo delle nevi è classificato come **Panthera uncia**. 
",2025-02-12
qGEN158,cosa possiamo fare per aiutare la specie in estinzione?   ,General,Gemma,"Possiamo agire per aiutare la specie in estinzione con:

**1. Conservazione",2025-02-12
qGEN159,quale tipologia di eruzione provoca piÃ¹ danni?,General,Gemma,Le eruzioni vulcaniche sono classificate in base alla loro intensità e al tipo di materiale,2025-02-12
qGEN160,che velcitÃ  puÃ² raggiungere un tornado,General,Gemma,Un tornado può raggiungere una velocità di **fino a 300 chilometri all'ora**.,2025-02-12
qGEN161,come si forma un tornado,General,Gemma,Un tornado si forma quando l'aria calda e umida si scontra con l'aria fred,2025-02-12
qGEN162,dove e quando avvenÃ¬ il mostro nero( tornado),General,Gemma,"Il mostro nero, o tornado, si è verificato in **Italia**, nel **19",2025-02-12
qGEN163, leopardo delle nevi,General,Gemma,Il leopardo delle nevi è un felino selvatico incredibilmente raro e affascinante,2025-02-12
qGEN164, leopardo delle nevi classificazione,General,Gemma,"Il leopardo delle nevi (Panthera pardus orientalis) è classificato come:

*",2025-02-12
qGEN165,come aiutare le specie in estinzione focus ,General,Gemma,"## Aiutare le specie in estinzione: Focus

**La biodiversità è la chiave per",2025-02-12
qGEN166,come viene classificata il leopardo delle nevi,General,Gemma,"Il leopardo delle nevi è classificato come **Panthera uncia**. 
",2025-02-12
qGEN167,quante specie di leopardi delle nevi esistono,General,Gemma,"Esistono circa **100** specie di leopardi delle nevi. 
",2025-02-12
qGEN168,come aiutare gli animali in via di estinzione?,General,Gemma,"Ecco alcuni modi in cui puoi aiutare gli animali in via di estinzione:

**Azione",2025-02-12
qGEN169,come viene classificato il leopardo delle nevi ? ,General,Gemma,"Il leopardo delle nevi è classificato come **Panthera uncia**. 
",2025-02-12
qGEN170,quanti esemplari sono  rimasti di fantasma delle montagne?,General,Gemma,"Non ho accesso a informazioni in tempo reale, come il numero di esemplari rimasti di un",2025-02-12
qGEN171,quali animali sono in via di estinzione,General,Gemma,"Ecco alcuni animali in via di estinzione:

* **Elefante africano:** La perdita di",2025-02-12
qGEN172,come possiamo salvare gli animali quasi estinti,General,Gemma,"Per salvare gli animali quasi estinti, dobbiamo agire su diversi fronti:

**1.",2025-02-12
qGEN173,quanti sono gli esemplari di leopardo delle nevi,General,Gemma,Ci sono circa **10.000-15.000 esemplari,2025-02-12
qGEN174, come si sviluppa un tornado,General,Gemma,Un tornado si sviluppa quando l'aria calda e umida si scontra con l'aria,2025-02-12
qGEN175,altri nomi del tornado,General,Gemma,"**Altri nomi del tornado:**

* **Fendente:**  Un nome popolare in Italia, che",2025-02-12
qGEN176,mostro nero,General,Gemma,"Il mostro nero. 
",2025-02-12
qGEN177,quando Ã¨ avvenuto il mostro nero,General,Gemma,"Il mostro nero è avvenuto nel 1977. 
",2025-02-12
qGEN178,sinonimi del tornado ,General,Gemma,"* **Fendente**
* **Tormenta**
* **Vento furioso**
",2025-02-12
qGEN179,velocitÃ  massima del tornado,General,Gemma,La velocità massima di un tornado può variare da **100 a 300 chil,2025-02-12
qGEN180,velociraptor dove e quando e vissuto,General,Gemma,"Il velociraptor è vissuto in Asia durante il Cretaceo, circa 75 milioni di anni",2025-02-12
qGEN181,come si localizza un punto su una mappa,General,Gemma,"Per localizzare un punto su una mappa, devi seguire questi passaggi:

1. **Sce",2025-02-12
qGEN182,quale stella utilizzano gli abitanti dell emisfero boreale per orientarsi,General,Gemma,Gli abitanti dell'emisfero boreale utilizzano la **Stella di Arcturus** per,2025-02-12
qGEN183,quali sono le coordinate geografiche ,General,Gemma,"Le coordinate geografiche sono un sistema di riferimento che identifica un punto sulla superficie terrestre. 

**",2025-02-12
qGEN184,chi era san giuseppe,General,Gemma,"San Giuseppe era un santo cristiano venerato in tutto il mondo. 

È considerato il patrono",2025-02-12
qGEN185,come e nata la festa del papa,General,Gemma,"La festa del Papa è nata nel corso del tempo, con diverse origini e evoluzioni. 

",2025-02-12
qGEN186,quali sono due ingredienti del dolce tipico della festa del papa,General,Gemma,"I due ingredienti principali del dolce tipico della festa del Papa sono:

* **La pasta f",2025-02-12
qGEN187,qual e la regione con piÃ¹ squadre di basket,General,Gemma,"La regione con più squadre di basket in Italia è la **Lombardia**. 
",2025-02-12
qGEN188,quale squadra di basket ha piÃ¹ anni di attivitÃ ,General,Gemma,"La squadra di basket con più anni di attività è la **Chicago Bulls**. 
",2025-02-12
qGEN189,quali sono le regole del basket,General,Gemma,"Ecco le regole del basket:

**Obiettivo:**

* Due squadre di 5 giocatori ciasc",2025-02-12
qGEN190,quanti giocatori ci sono in ogni squadra di basket,General,Gemma,"In una squadra di basket, ci sono **5 giocatori** sul campo. 
",2025-02-12
qGEN191,cosa possiamo fare per aiutare le specie in via di estinzione,General,Gemma,Possiamo fare molto per aiutare le specie in via di estinzione. Ecco alcune azioni concrete:,2025-02-12
qGEN192,quanti esemplari rimangono di leopardo delle nevi,General,Gemma,Ci sono ancora circa 10.000 esemplari di leopardo delle nevi in,2025-02-12
qGEN193,qual e il torneo piÃ¹ vecchio di tennis,General,Gemma,"Il torneo più vecchio di tennis è il **Wimbledon**. 
",2025-02-12
qGEN194,quali sono le regole del tennis,General,Gemma,"Ecco le regole del tennis:

**Obiettivo:**

Il tennis è un gioco di squadra o",2025-02-12
qGEN195,quando e nato il tennis,General,Gemma,"Il tennis ha origini antiche, ma la sua forma moderna è nata nel XIX secolo. 

La",2025-02-12
qGEN196,come si trova un punto su una mappa,General,Gemma,"Per trovare un punto su una mappa, devi seguire questi passaggi:

1. **Individu",2025-02-12
