QID,Query,Prompt Type,IAS,Resp,Rank,date_generated
qGEN4,piramidi ,General,Bing,"Piramide - Wikipedia. Le piramidi Maya sono anch'esse a base quadrata ma si sviluppano secondo una struttura a gradoni, generalmente con una struttura in cima facente funzione di tempio. Sono anche state rinvenute sepolture all'interno di piramidi anche se in maniera sporadica.",1,2025_02_12
qGEN4,piramidi ,General,Bing,"Piramidi egizie - Wikipedia. Le piramidi egizie sono costruzioni architettoniche di forma piramidale con base perlopiù quadrata o, talvolta, rettangolare.",2,2025_02_12
qGEN4,piramidi ,General,Bing,"Perché le Piramidi di Giza sono uno dei più grandi misteri dell'Antico .... Le tre celebri piramidi di Giza e i loro elaborati complessi sepolcrali furono eretti dal 2550 al 2490 a.C., epoca particolarmente prolifica di grandi opere architettoniche. Le piramidi furono costruite dai Faraoni Khufu (quella più alta), Khafre (quella posteriore) e Menkaure (quella anteriore).",3,2025_02_12
qGEN4,piramidi ,General,Bing,"Le 5 piramidi più famose dell'Antico Egitto - FocusJunior.it. Sebbene le più famose siano meno di una decina, in Egitto sono state costruite più di 100 piramidi, molte delle quali sconosciute a chi non è appassionato di archeologia. La maggior parte di esse si trovano introno alla capitale Il Cairo , appena a sud del delta del Nilo.",4,2025_02_12
qGEN4,piramidi ,General,Bing,"Piramidi egizie: le tombe dei faraoni - Storia - Studia Rapido. Le piramidi egizie erano le grandiosi tombe dei faraoni. All'inizio si trattava di costruzioni larghe e piatte, chiamate mastabe. In seguito diventarono",5,2025_02_12
qGEN4,piramidi ,General,Bing,"“Egizi e piramidi: costruzione, funzione e misteri di un’iconica .... Le piramidi erano il simbolo della grandezza dei faraoni egizi e furono costruite come tombe per ospitare il loro corpo dopo la morte. La costruzione delle piramidi richiedeva un’enorme quantità di manodopera e risorse, poiché era necessario estrarre, trasportare e lavorare grandi blocchi di pietra.",6,2025_02_12
qGEN4,piramidi ,General,Bing,"Piramidi di Giza: storia, architettura e curiosità. Le Piramidi di Giza, monumenti iconici dell’antico Egitto e patrimonio mondiale dell’umanità, rappresentano non solo un trionfo dell’ingegneria e dell’architettura, ma anche un enigma che continua a intrigare e affascinare il mondo moderno.",7,2025_02_12
qGEN4,piramidi ,General,Bing,Il mistero della costruzione delle Piramidi di Giza| Elle Decor. Chi si nasconde nelle piramidi di Giza? Il faraone Chufu fu il primo re egizio a far costruire una piramide a Giza. Lo fece nel 2550 a.C. circa. Originariamente alta 147 metri - oggi ancora 138 - la piramide di Chufu è la più grande piramide dell'altopiano.,8,2025_02_12
qGEN4,piramidi ,General,Bing,"Piramidi di Giza | Meraviglie del mondo antico - Pyramid of Giza. Le Piramidi di Giza in Egitto segnano un periodo glorioso nella civiltà umana. Situate nella Necropoli di Giza, appena fuori dalla città del Cairo, furono costruite da tre faraoni dell’antico Egitto circa 4500 anni fa. Considerate un prodigio architettonico, le Piramidi di Giza sono una delle sette meraviglie del mondo.",9,2025_02_12
qGEN4,piramidi ,General,Bing,"La Piramide di Khufu | La Grande Piramide di Giza - Pyramid of Giza. La Grande Piramide è circondata da diversi edifici tra cui diverse piramidi secondarie più piccole delle regine, tombe mastaba per la nobiltà e altri membri della famiglia, barche sepolte e un paio di templi.",10,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Piramidi Altezza: L'Altezza delle 8 Piramidi più Famosi - Tour Egitto. La Piramide Rossa misura circa 105 metri di altezza, rendendola la terza piramide più alta dell'Egitto, dopo la Grande Piramide di Giza e la Piramide di Khafre. Realizzata in calcare rosso, da cui deriva il suo nome, la piramide presenta una struttura interna complessa con camere e corridoi.",1,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Qual è la piramide più alta in Egitto? - 411answers.com. La piramide più alta in Egitto è la Grande Piramide di Khufu situata a Giza. Questa piramide si erge alta 481 piedi. È la più grande piramide del mondo e contiene circa 2,3 milioni di blocchi di pietra, ognuno dei quali pesa tra 2,5 e 12 tonnellate.",2,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Piramidi di Giza Altezza: Scopri le Meraviglie Antiche - Viaggio in Egitto. Qual è l'altezza delle principali piramidi egizie? La Piramide di Cheope, la più grande del complesso di Giza, raggiunge un'altezza di 147 metri. È seguita dalla Piramide di Chefren, alta 136 metri, e dalla Piramide di Micerino, che misura 61 metri.",3,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Piramidi di Giza | Piramidi Egitto | Le Piramidi di Giza. Le tre piramidi principali di Giza sono note come la Piramide di Cheope, che è la più alta con i suoi 147 metri, seguita dalla Piramide di Chefren, alta 136 metri, e dalla Piramide di Micerino, che misura 61 metri di altezza.",4,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Le piramidi di Giza | Storia egizia - Egyptian History. Le tre piramidi di Giza furono costruite dai faraoni Cheope, Chefren e Micerino. Conosciute come le piramidi più alte d'Egitto e del mondo, queste piramidi sono le tombe dei più grandi faraoni della IV dinastia dei re egiziani. Andiamo subito alla scoperta di questi tre argomenti, senza ulteriori indugi!",5,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Le Piramidi Egizie: Scoperta delle 9 Piramidi più Famose - Tour Egitto. La Grande Piramide di Giza è la più famosa delle piramidi egizie e uno dei sette meraviglie del mondo antico. Costruita per il faraone Cheope intorno al 2500 a.C., questa piramide è un'imponente struttura di 146 metri di altezza e ha richiesto oltre 2 milioni di blocchi di pietra per la sua costruzione.",6,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Piramidi di Giza, Il Cairo - guida definitiva per i viaggiatori - Cestee.it. La piramide più piccola di Giza ha una base quadrata con un lato di 108,4 metri ed è alta 66,45 metri. Risale al 2500 a.C. circa ed è l'unica a non avere un interno accessibile. Secondo molti, il monumento più interessante della necropoli di Giza si trova all'ingresso meridionale.",7,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Impressionante altezza delle Piramidi di Giza: un enigma millenario!. Le piramidi di Giza, situate in Egitto, sono tra le strutture antiche più note e imponenti del mondo. L’altezza delle tre principali piramidi, ovvero la Grande Piramide di Cheope, la Piramide di Chefren e la Piramide di Micerino, varia tra i 138 e i 146 metri.",8,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Piramidi di Giza, Egitto: guida alla visita, come arrivare e cosa .... La Piramide di Cheope o Grande Piramide è sia quella più importante sia quella più antica nonché quella più grande e una delle 7 meraviglie del mondo, nonché l’unica arrivata fino a noi. Ed è anche annoverato come Patrimonio Mondiale dell’Unesco. E’ alta quasi 140 metri ed è la prima piramide che vedrai entrando.",9,2025_02_12
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,Bing,"Piramidi d'Egitto - Guida di viaggio - Egipto.com. Piramide di Cheope. È la più grande di tutte e porta il nome di Grande Piramide di Giza. È alto 140 metri e poggia su una base di 230 metri, che rappresenta un perimetro di quasi 1 km. È stato l’edificio più alto della terra per 3.800 anni, finché non è stato superato dalla guglia della Cattedrale di Lincoln, in Inghilterra, nel XIV ...",10,2025_02_12
qGEN6,velocita tornado ,General,Bing,"Tromba d'aria - Wikipedia. Il tornado più violento nella storia degli Stati Uniti si verificò il 18 marzo 1925 in Missouri, Illinois e Indiana. Il tornado percorse oltre 350 chilometri attraverso questi 3 stati uccidendo 689 persone e ferendone quasi 200. Un altro record si verificò con il maggior numero di tornado simultanei.",1,2025_02_12
qGEN6,velocita tornado ,General,Bing,Scala Fujita - Wikipedia. La scala Fujita è una misura empirica dell'intensità di un tornado in funzione dei danni inflitti alle strutture costruite dall'uomo. L'origine della scala di misurazione è insolita; l' esplosione atomica di Hiroshima ebbe tra i suoi effetti anche lo sviluppo di numerosi tornado.,2,2025_02_12
qGEN6,velocita tornado ,General,Bing,"Panavia Tornado - Wikipedia. Il Panavia Tornado (ufficialmente Panavia PA-200 Tornado, meglio conosciuto come Tornado MRCA - Multi Role Combat Aircraft) è un caccia multiruolo con ala a geometria variabile.",3,2025_02_12
qGEN6,velocita tornado ,General,Bing,"Quali sono le velocità dei tornado? - Portale Sulla Scienza. Quali sono le velocità dei tornado? I tornado sono una delle minacce più potenti e spaventose prodotte dalla natura. I tornado producono venti che possono superare quelli dei più potenti uragani, ma in un'area molto concentrata. Queste velocità del vento possono superare 200 miglia all'ora e causare devastazione totale.",4,2025_02_12
qGEN6,velocita tornado ,General,Bing,"Che differenza c’è tra uragano, ciclone, tifone e tornado?. Caratteristica dei tornado americani è, oltre all’estrema velocità del vento, la ristrettezza dell’area, di qualche decina o al massimo di qualche centinaio di metri quadrati. I tornado si spostano con una velocità media di circa 50 km/h; la durata del passaggio è di pochi secondi.",5,2025_02_12
qGEN6,velocita tornado ,General,Bing,"I tornado in Italia - La scala Fujita dei Tornado. La scala Fujita dei tornado è strutturata in modo da dividere in 12 parti l'intervallo fra il grado 12 della scala Beaufort e la velocità del suono (Mach 1). La velocità del vento può essere calcolata con la formula: Vt = 6,30(F + 2)^1,5 dove Vt è la velocità del vento (m/s) e F è il grado di intensità della tromba nella scala.",6,2025_02_12
qGEN6,velocita tornado ,General,Bing,"Il fenomeno atmosferico più distruttivo: il Tornado | Fisica .... Un tornado medio può avere un diametro da 120 a 150 metri e può compiere una distanza di 7/8 km al suolo ed avere una durata di alcuni minuti. Un tornado che supera la larghezza di 1 km è estremamente raro. Molti tornado sono piccoli, larghi meno di 30 metri e durano solo alcuni minuti.",7,2025_02_12
qGEN6,velocita tornado ,General,Bing,"Qual è la velocità del vento di un tornado F5? - Area Sosta. La velocità del vento può superare i 300 km/h per i tornado su terraferma, e 250 km/h per le trombe marine. Per classificarli si utilizza la scala Enhanced Fujita, composta da sei livelli (da EF0 a EF5) determinati dagli indicatori di danno utilizzati per ricostruire l'evento vorticoso.",8,2025_02_12
qGEN6,velocita tornado ,General,Bing,"- Centro Geofisico Prealpino - Statistiche Meteorologiche. La velocità del vento consente di calcolare la caduta di pressione nel cuore del tornado, poichè la forza centrifuga ρV 2 /R bilancia il gradiente di pressione ΔP/R (dove R è il raggio del tornado e ρ la densità dell'aria).",9,2025_02_12
qGEN6,velocita tornado ,General,Bing,"Trombe d’aria e tornado: cosa sono, come si sviluppano ... - Ingenio. Le trombe d’aria, note anche come tornado, sono tra i fenomeni atmosferici più violenti e spettacolari esistenti in natura. Si manifestano come vortici d’aria rotanti ad altissima velocità, che si estendono da una nube temporalesca fino al suolo.",10,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope - Wikipedia. La Piramide di Cheope è la più antica e più grande delle tre piramidi principali della necropoli di Giza. È la più antica delle sette meraviglie del mondo antico nonché l'unica arrivata ai giorni nostri. È costituita da almeno 2 300 000 blocchi, ciascuno mediamente del peso di circa 2,5 tonnellate e, secondo gli egittologi, fu ...",1,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope, dove si trova? È incredibile la sua posizione: vi .... La sua particolarità sta però nella sua posizione: la Grande Piramide, infatti si trova proprio in un punto esatto della Terra. É l’unica delle sette meraviglie del mondo antico ancora in...",2,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope, Guida Visita - Egitto 2025 | Arché Travel. Si trova all’interno della Necropoli di Giza, uno dei più importanti siti archeologici al mondo. Inoltre, questa piramide è l’unica tra le sette meraviglie del mondo antico ad essere ancora oggi intatta e visitabile. Ma non solo, perché questo luogo è anche un Patrimonio dell’Unesco.",3,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope - Guida piramidi Egitto - guidaegitto.net. La Piramide di Cheope è una delle sette meraviglie del mondo antico, l’unica visibile ancora oggi. È situata sulla riva sinistra del Nilo, nei pressi di Giza dove sorge la più grande necropoli al mondo di cui la piramide di Cheope fa parte insieme alla Piramide di Micerno e la Piramide di Chefren.",4,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"La Grande Piramide di Cheope, descrizione - Studia Rapido. La piramide di Cheope è la più antica e la più grande delle tre piramidi della necropoli di Giza (le altre due piramidi appartengono ai suoi successori Chefren e Micerino, figlio di Chefren).",5,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope: storia, descrizione e misteri | Esquire. Conosciuta anche come Grande Piramide di Giza o Piramide di Khufu, la Piramide di Cheope è un’immensa costruzione situata nella necropoli di Giza - vicino a Il Cairo - ed è, tra...",6,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"La Piramide di Khufu | La Grande Piramide di Giza - Pyramid of Giza. La Grande Piramide di Cheope si trova nella Necropoli di Giza, alla periferia del Cairo. Questo maestoso monumento funerario si trova a nord del complesso di Giza.",7,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"La Piramide di Cheope | Grande Piramide di Giza - Tour Egitto. La Piramide di Cheope, situata nella necropoli di Giza, in Egitto, è uno dei monumenti più antichi ancora esistenti al mondo. La sua costruzione risale all'Antico Regno dell'Egitto e fu completata intorno al 2560 a.C., durante il regno del faraone Cheope (o Khufu) della IV dinastia.",8,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope | I misteri della più grande delle piramidi di Giza. Iniziamo questo percorso di ricerca esaminando la prima piramide, la più grande delle tre, ovvero la Piramide di Cheope, costruita secondo gli egittologi durante il regno di Khufu, in un lasso di tempo che va dal 2.551 al 2.528 a.C.",9,2025_02_12
qGEN7,dove si trova la piramide di Cheope?,General,Bing,"Come visitare la Piramide di Re Cheope o Grande Piramide di Giza. La Piramide di Re Cheope o Grande Piramide di Giza è situata sull’altopiano di Giza. Questo grande distesa di sabbia ospita 9 piramidi, che insieme formano la necropoli di Giza. La più grande di loro è la Piramide di Re Cheope, chiamata anche la Grande Piramide d’Egitto.",10,2025_02_12
qGEN8,tornado velocita ,General,Bing,"Tromba d'aria - Wikipedia. Il tornado più violento nella storia degli Stati Uniti si verificò il 18 marzo 1925 in Missouri, Illinois e Indiana. Il tornado percorse oltre 350 chilometri attraverso questi 3 stati uccidendo 689 persone e ferendone quasi 200. Un altro record si verificò con il maggior numero di tornado simultanei.",1,2025_02_12
qGEN8,tornado velocita ,General,Bing,Scala Fujita - Wikipedia. La scala Fujita è una misura empirica dell'intensità di un tornado in funzione dei danni inflitti alle strutture costruite dall'uomo. L'origine della scala di misurazione è insolita; l'esplosione atomica di Hiroshima ebbe tra i suoi effetti anche lo sviluppo di numerosi tornado.,2,2025_02_12
qGEN8,tornado velocita ,General,Bing,"I tornado in Italia - La scala Fujita dei Tornado. La velocità del vento può essere calcolata con la formula: Vt = 6,30(F + 2)^1,5 dove Vt è la velocità del vento (m/s) e F è il grado di intensità della tromba nella scala. La scala Fujita è utile per classificare i tornado in base agli effetti che essi producono sulle strutture, sulle cose, sulle piante ecc.",3,2025_02_12
qGEN8,tornado velocita ,General,Bing,"Trombe d’aria e tornado: cosa sono, come si sviluppano ... - Ingenio. Le trombe d’aria, note anche come tornado, sono tra i fenomeni atmosferici più violenti e spettacolari esistenti in natura. Si manifestano come vortici d’aria rotanti ad altissima velocità, che si estendono da una nube temporalesca fino al suolo.",4,2025_02_12
qGEN8,tornado velocita ,General,Bing,"Quali sono le velocità dei tornado? - Portale Sulla Scienza. 🎓 I tornado sono una delle minacce più potenti e spaventose prodotte dalla natura. I tornado producono venti che possono superare quelli dei più potenti uragani, ma in un'area molto concentrata. Queste velocità del vento possono superare 200 miglia all'ora e causare devastazione totale.",5,2025_02_12
qGEN8,tornado velocita ,General,Bing,"Cos'è un tornado? Come si forma? - Ilmeteo.net. Un tornado è un fenomeno meteo caratterizzato dalla presenza di un vortice d’aria, molto intenso e potente, ma di limitata estensione, nell’ordine delle decine o centinaia di metri. Questa perturbazione è in grado di causare enormi danni, ed ha un potenziale distruttivo molto alto.",6,2025_02_12
qGEN8,tornado velocita ,General,Bing,"I tornado - Tornado in Italia. Per misurare l’intensità di un tornado si utilizza la scala “Enhanced Fujita”, o scala EF, che sulla base di un’approfondita analisi sui danni causati dal tornado ad abitazioni, infrastrutture e vegetazione stima la velocità del vento in rotazione del vortice.",7,2025_02_12
qGEN8,tornado velocita ,General,Bing,"Scala Fujita della forza dei Tornado e trombe d'aria - il Cybernauta. Scala della forza distruttiva dei tornado e delle trombe d'aria. La scala Fujita classifica i tornado e le trombe d'aria a seconda dei danni probabili causati all'ambiente, alle infrastrutture ed agli altri manufatti creati dall'uomo.",8,2025_02_12
qGEN8,tornado velocita ,General,Bing,"Tornado - La Scala Fujita e la Potenza Distruttiva - PcGuida. Le 6 Forze della Scala Fujita per Capire la Potenza di un Tornado Si formano in un attimo, possono generare venti superiori ai 500km/h, sono in grado di percorrere centinaia di chilometri, con la conseguenza di lasciare morte e distruzione al loro passaggio.",9,2025_02_12
qGEN8,tornado velocita ,General,Bing,"Quali sono le velocità dei tornado? - Scienza 2024 - Lam Science. I tornado sono una delle minacce più potenti e spaventose prodotte dalla natura. I tornado producono venti che possono superare quelli dei più potenti uragani, ma in un'area molto concentrata. Queste velocità del vento possono superare le 200 miglia orarie e causare devastazioni.",10,2025_02_12
qGEN9,vulcano attivo antico ,General,Bing,"Vesuvio - Wikipedia. La sua forma attuale è il risultato della fusione con un vulcano più antico, il Monte Somma: il cono si è sviluppato all'interno della caldera formatasi dal crollo della parte superiore del Somma a causa di potenti eruzioni esplosive, tra cui spicca quella del 79 d.C. [1]",1,2025_02_12
qGEN9,vulcano attivo antico ,General,Bing,"SCOPERTO UN ANTICO VULCANO SOMMERSO IN ITALIA. I nuovi rilevamenti magnetici, condotti nel 2022 mediante sondaggi aerei e navali, hanno rilevato anomalie magnetiche significative che indicano la presenza di un antico vulcano sommerso, poco a ovest di Ischia.",2,2025_02_12
qGEN9,vulcano attivo antico ,General,Bing,"Geologia e Vulcanologia - Parco Nazionale del Vesuvio. Il Vesuvio, unico vulcano attivo dell’Europa continentale, fa parte di una vasta area vulcanica che si è originata circa 2 milioni di anni fa, durante le fasi tettoniche connesse all’apertura del bacino tirrenico e all’assestamento della catena appenninica; l’attuale forma del vulcano è il risultato del continuo susseguirsi, negli ...",3,2025_02_12
