QID,Query,Prompt Type,Task Sentiment
qGEN116, Chi era il padre di Micerino  ?,General,
qGEN117, Il figlio di Chefren,General,
qGEN118, Il padre di Micerino,General,
qGEN119, Quanto e alta la tomba di Cheope?,General,
qGEN120, Si e scoperto il padre di Micerino?,General,
qGEN121,Come si costruivano le piramidi Egizie?,General,
qGEN122,Dove si trova la piramide di Cheope?,General,
qGEN123,Quale e la piramide egizia piu` alta ?,General,
qGEN124,Quanto era alta la tomba del padre di Micerino?,General,
qGEN125,come si costruisce una piramide egizia?,General,
qGEN126,come si costruiscono delle piramidi Egizie?,General,
qGEN127,qual e la squadra piu anticha del calcio,General,
qGEN128,quanti sono gli esemplari rimasti di fantasma delle montagne?,General,
qGEN129,tre animali a rischio di estinzione,General,
qGEN130,un fantasma delle montagne foto,General,
qGEN131,che velocita puo raggiungere un tornado,General,
qGEN132,come erano costruite le piramidi egizie,General,
qGEN133,cosa possiamo fare per salvare gli animali a rischio di estintione,General,
qGEN134,quale la piramide egizia piu alta,General,
qGEN135,quanto Ã¨ alta la tomba del padre di micerino,General,
qGEN136,vulcano attivo piu atlantico,General,
qGEN137, Micerino,General,
qGEN138,come si fa una piramide egizia,General,
qGEN139,qual Ã© la piramide egizia piu alta,General,
qGEN140,quanto Ã¨ alta la tomba del padre di  micerino,General,
qGEN141,quanto Ã¨ alta la tomba del padre micerino,General,
qGEN142,quanto Ã¨ alta la tomba di micerino,General,
qGEN143,quanto Ã©l alta la tomba di micerino,General,
qGEN144,CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General,
qGEN145,QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General,
qGEN146, esemplari fantasma delle montagne,General,
qGEN147,azioni per evitare estinzione degli animali,General,
qGEN148,la classificazione del leopardo delle nevi,General,
qGEN149,quali sono  gli esemplari rimasti di fantasma delle nevi,General,
qGEN150,quanti sono gli esemplari rimasti di fantasma delle nevi,General,
qGEN151,tigre bianca,General,
qGEN152,come si formano i vulcani ,General,
qGEN153,come si Ã© formato un vulcano,General,
qGEN154,in quale stato si trova il vulcano piÃ¹ piccolo,General,
qGEN155,qual Ã¨ il vulcano attivo piÃ¹ antico ,General,
qGEN156,come aiutare gli animali in via di estinzion^?,General,
qGEN157,come viene classificato il leopardo delle nevi ?,General,
qGEN158,cosa possiamo fare per aiutare la specie in estinzione?   ,General,
qGEN159,quale tipologia di eruzione provoca piÃ¹ danni?,General,
qGEN160,che velcitÃ  puÃ² raggiungere un tornado,General,
qGEN161,come si forma un tornado,General,
qGEN162,dove e quando avvenÃ¬ il mostro nero( tornado),General,
qGEN163, leopardo delle nevi,General,
qGEN164, leopardo delle nevi classificazione,General,
qGEN165,come aiutare le specie in estinzione focus ,General,
qGEN166,come viene classificata il leopardo delle nevi,General,
qGEN167,quante specie di leopardi delle nevi esistono,General,
qGEN168,come aiutare gli animali in via di estinzione?,General,
qGEN169,come viene classificato il leopardo delle nevi ? ,General,
qGEN170,quanti esemplari sono  rimasti di fantasma delle montagne?,General,
qGEN171,quali animali sono in via di estinzione,General,
qGEN172,come possiamo salvare gli animali quasi estinti,General,
qGEN173,quanti sono gli esemplari di leopardo delle nevi,General,
qGEN174, come si sviluppa un tornado,General,
qGEN175,altri nomi del tornado,General,
qGEN176,mostro nero,General,
qGEN177,quando Ã¨ avvenuto il mostro nero,General,
qGEN178,sinonimi del tornado ,General,
qGEN179,velocitÃ  massima del tornado,General,
qGEN180,velociraptor dove e quando e vissuto,General,
qGEN181,come si localizza un punto su una mappa,General,
qGEN182,quale stella utilizzano gli abitanti dell emisfero boreale per orientarsi,General,
qGEN183,quali sono le coordinate geografiche ,General,
qGEN184,chi era san giuseppe,General,
qGEN185,come e nata la festa del papa,General,
qGEN186,quali sono due ingredienti del dolce tipico della festa del papa,General,
qGEN187,qual e la regione con piÃ¹ squadre di basket,General,
qGEN188,quale squadra di basket ha piÃ¹ anni di attivitÃ ,General,
qGEN189,quali sono le regole del basket,General,
qGEN190,quanti giocatori ci sono in ogni squadra di basket,General,
qGEN191,cosa possiamo fare per aiutare le specie in via di estinzione,General,
qGEN192,quanti esemplari rimangono di leopardo delle nevi,General,
qGEN193,qual e il torneo piÃ¹ vecchio di tennis,General,
qGEN194,quali sono le regole del tennis,General,
qGEN195,quando e nato il tennis,General,
qGEN196,come si trova un punto su una mappa,General,
qGEN197,come si sviluppa un tornado,General,
qGEN198,il mostro nero e un tornado,General,
qGEN199, i vantaggi della dieta mediterranea,General,
qGEN200,in quanti pasti si deve suddividere la quantitÃ  di cibo di una ragazza sana,General,
qGEN201,quali cibi forniscono carboidrati,General,
qGEN202,qual e il vulcano attivo piÃ¹ antico,General,
qGEN203,quali sono i tipi di eruzione,General,
qGEN204,le regole del motocross,General,
qGEN205,come si sviluppa un tornado e i suoi effetti,General,
qGEN206,quali sono gli altri nomi del tornado,General,
qGEN207, il leopardo delle nevi e invertebrato o vertebrato,General,
qGEN208,come possiamo aiutare gli animali in estinzione,General,
qGEN209,quanti sono i fantasmi delle montagne,General,
qGEN210,tre animal a rischio estinzione,General,
qGEN211,il mostro nero tornado che cos Ã¨,General,
qEM1, le conseguenze negative della distruzione della foresta amazzonica,Emotionally Charged,Bad
qEM2,Dove si trova l isola di plastica,Emotionally Charged,Bad
qEM3,Dove si trova l isola di plastica ,Emotionally Charged,Bad
qEM4,I ghiacciai in via di estinzione,Emotionally Charged,Bad
qEM5,Il ghiacciaio piÅ« in via di estinzione,Emotionally Charged,Bad
qEM6,Le regole per tenere le spiagge pulite,Emotionally Charged,Good
qEM7,Le regole per tenere le spiagge pulite ,Emotionally Charged,Good
qEM8,Le spiagge piÅ« piÃ¹ pulite,Emotionally Charged,Good
qEM9,Quale nome si usa per definire una personache ha a cuore l,Emotionally Charged,Good
qEM10,perchÃ© gli orsi polari si stanno estinguendo,Emotionally Charged,Bad
qEM11,perchÃ© gli orsi polari si stanno estinguendo ,Emotionally Charged,Bad
qEM12,perchÃ© gli orsi polari si stanno estinguendo sito babbanas,Emotionally Charged,Bad
qEM13,BiodiversitÃ¡,Emotionally Charged,Good
qEM14,CosÃ© il buco nel azono,Emotionally Charged,Bad
qEM15,Dove si trova lisola di plastica,Emotionally Charged,Bad
qEM16,Perche gli orsi polari diminuen,Emotionally Charged,Bad
qEM17,Quanto psa lisola di plastica,Emotionally Charged,Bad
qEM18,Temperature estivepiu elevate del 2019,Emotionally Charged,Bad
qEM19,Cose il buco nello zono?,Emotionally Charged,Bad
qEM20,Isola di plastica posto,Emotionally Charged,Bad
qEM21,Isola diplastica cosÃ¨,Emotionally Charged,Bad
qEM22,Lisola di plastica cosa Ã¨,Emotionally Charged,Bad
qEM23,Nomi spiagge bandiera pulizia,Emotionally Charged,Good
qEM24,PerchÃ¨ gli orsi polari diminuiscono?,Emotionally Charged,Bad
qEM25,Peso bottiglia di plastica   ,Emotionally Charged,Bad
qEM26,Quale ghiacciaio si sta sciogliendosi in modo preoccupante,Emotionally Charged,Bad
qEM27,Spiagge con la bandiera della pulizia,Emotionally Charged,Good
qEM28, 3 Spiagge con bandiera blu,Emotionally Charged,Good
qEM29,Spiagge con bandiera blu,Emotionally Charged,Good
qEM30,Temperature estive superano quelle misurate nel 2019,Emotionally Charged,Bad
qEM31,spiagge bandiera blu 2019,Emotionally Charged,Good
qEM32,spiagge bandiera blu 2019 molise,Emotionally Charged,Good
qEM33,Regole per tenere pulite le spiagge,Emotionally Charged,Good
qEM34, Spiagge con bandiera b,Emotionally Charged,Good
qEM35, Spiagge con bandiera blu,Emotionally Charged,Good
qEM36, Spiagge con bandiera della loro pulizia,Emotionally Charged,Good
qEM37, Spiagge con bandiera di certificazione della loro pulizia,Emotionally Charged,Good
qEM38,Causa della riduzione del lago aral,Emotionally Charged,Bad
qEM39,Isola di plastica,Emotionally Charged,Bad
qEM40,Spiagge con certificazione di pulizia ,Emotionally Charged,Good
qEM41,Anno con temperature piÃ¹ alte,Emotionally Charged,Bad
qEM42,Anno con temperature piÃ¹ alte ,Emotionally Charged,Bad
qEM43,PerchÃ¨ gli orsi polari stanno diminuendo drasticamente di numero,Emotionally Charged,Bad
qEM44,Quale nome si usa per definire una persona che ha a cuore ambiente,Emotionally Charged,Good
qEM45,Conseguenze negative della distruzione della foresta amazzonica,Emotionally Charged,Bad
qEM46,Cosa Ã¨ Ä¾isola di plastica,Emotionally Charged,Bad
qEM47,Di cosa si occupa il WWF ?,Emotionally Charged,Good
qEM48,Dove si trova Ä¾isola di plastica Cosa Ã¨,Emotionally Charged,Bad
qEM49, persona che rispetta la natura,Emotionally Charged,Good
qEM50,Qual Ã¨ la causa della riduzione del lago Aral,Emotionally Charged,Bad
qEM51,Quale nome si usa per definire una persona che ha a cuore l,Emotionally Charged,Good
qEM52,Cosa Ã¨  Ocean  Cleanup,Emotionally Charged,Good
qEM53,Dove si trova Äº isola di plastica,Emotionally Charged,Bad
qEM54,QuaÄº Ã¨ la causa della riduzione del lago aral,Emotionally Charged,Bad
qEM55,cos e la biodiversitÃ ,Emotionally Charged,Good
qEM56,Cosa Ã¨ ocean cleanup? Ita,Emotionally Charged,Good
qEM57,Cosa Ã¨ ocean cleanup? Italino,Emotionally Charged,Good
qEM58,Dove si trova Ä¾isola di plastica?,Emotionally Charged,Bad
qEM59,Quali sono le regole per tenere le spiagge pulite ?,Emotionally Charged,Good
qEM60,di cosa si occupa il wwf,Emotionally Charged,Good
qEM61,Di cosa si occupa il WWF?,Emotionally Charged,Good
qEM62,Cosa Ã¨ Ocean Cleanup ?,Emotionally Charged,Good
qEM63,Quali sono le regole per tenere le spiagge pulite?,Emotionally Charged,Good
qEM64,Di cosa si occupa la WWF,Emotionally Charged,Good
qEM65,Cosa Ã¨ ocean cleanup?,Emotionally Charged,Good
qEM66,Qual Ã© la causa della riduzione del lago Aral,Emotionally Charged,Bad
qEM67,A cosa serve frigorifero solidale,Emotionally Charged,Good
qEM68,Cosa Ã¨  Oceano cleanup,Emotionally Charged,Good
qEM69,perchÃ¨ gli orsi polari stanno diminuendo drasticamente di numero ?,Emotionally Charged,Bad
qEM70,Quale ghiacciaio vicino a noi sta sciogliendosi in modo preoccupante?,Emotionally Charged,Bad
qEM71,CosÃ¨ ocean Cleanup?,Emotionally Charged,Good
qEM72,Qual Ã¨ la causa della riduzione del lago Aral?,Emotionally Charged,Bad
qEM73,Di cosa si occupa il wwf?,Emotionally Charged,Good
qEM74,Dove si trova Ä¾ isola di plastica?cosa Ã¨?,Emotionally Charged,Bad
qEM75,Di che cosa si occupa il wwf,Emotionally Charged,Good
qEM76,Di cosa si occupa il wwf,Emotionally Charged,Good
qEM77,PerchÃ© gli orsi polari stanno diminuendo drasticamente di numero?,Emotionally Charged,Bad
qEM78,Quale ghiacciaio si sta scioglendo in modo preoccupante ,Emotionally Charged,Bad
qEM79,Cosa e la isola di plastica,Emotionally Charged,Bad
qEM80,ocean cleanup,Emotionally Charged,Good
qEM81,Dove si trova Ä¾isola di plastica,Emotionally Charged,Bad
qEM82, CosÃ¨ Ä¾isola di plastica,Emotionally Charged,Bad
