QID,Query,Prompt Type,Task Sentiment,IAS,Resp,Rank,date_generated
qGEN21,tornado ,General,,Bing,"Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia. A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ...",1,2020
qGEN22,tornado ,General,,Bing,Tornado facts and information. Tornadoes are vertical funnels of rapidly spinning air. Their winds may top 250 miles an hour and can clear a pathway a mile wide and 50 miles long.,2,2020
qGEN23,tornado ,General,,Bing,"Extreme up-close video of tornado near Wray, CO! - YouTube. Extreme up-close footage of tornado just north of Wray, CO earlier today! SEE ALSO: 360 Video! https://www.youtube.com/watch?v=TCXp9Y5uPn4 MORE VIDEOS: http:...",3,2020
qGEN24,tornado ,General,,Bing,"Tornado Central - weather.com. Tornado Season Is Off to an Active Start, But What Does That Mean for the Rest of It? May 7, 2019, 1:30 pm EDT March and April saw more tornado reports than average, but that does not mean May and ...",4,2020
qGEN25,tornado ,General,,Bing,"Tornadoes | Ready.gov. Tornadoes can destroy buildings, flip cars, and create deadly flying debris. Tornadoes are violently rotating columns of air that extend from a thunderstorm to the ground. Tornadoes can: Happen anytime and anywhere; Bring intense winds, over 200 MPH; and Look like funnels.",5,2020
qGEN31,tornado ,General,,Bing,"Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia. A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ...",1,2020
qGEN32,tornado ,General,,Bing,Tornado facts and information. Tornadoes are vertical funnels of rapidly spinning air. Their winds may top 250 miles an hour and can clear a pathway a mile wide and 50 miles long.,2,2020
qGEN33,tornado ,General,,Bing,"Extreme up-close video of tornado near Wray, CO! - YouTube. Extreme up-close footage of tornado just north of Wray, CO earlier today! SEE ALSO: 360 Video! https://www.youtube.com/watch?v=TCXp9Y5uPn4 MORE VIDEOS: http:...",3,2020
qGEN34,tornado ,General,,Bing,"Tornado Central - weather.com. Tornado Season Is Off to an Active Start, But What Does That Mean for the Rest of It? May 7, 2019, 1:30 pm EDT March and April saw more tornado reports than average, but that does not mean May and ...",4,2020
qGEN35,tornado ,General,,Bing,"Tornadoes | Ready.gov. Tornadoes can destroy buildings, flip cars, and create deadly flying debris. Tornadoes are violently rotating columns of air that extend from a thunderstorm to the ground. Tornadoes can: Happen anytime and anywhere; Bring intense winds, over 200 MPH; and Look like funnels.",5,2020
qGEN41,tornado ,General,,Bing,"Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia. A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ...",1,2020
qGEN42,tornado ,General,,Bing,Tornado facts and information. Tornadoes are vertical funnels of rapidly spinning air. Their winds may top 250 miles an hour and can clear a pathway a mile wide and 50 miles long.,2,2020
qGEN43,tornado ,General,,Bing,"Extreme up-close video of tornado near Wray, CO! - YouTube. Extreme up-close footage of tornado just north of Wray, CO earlier today! SEE ALSO: 360 Video! https://www.youtube.com/watch?v=TCXp9Y5uPn4 MORE VIDEOS: http:...",3,2020
qGEN44,tornado ,General,,Bing,"Tornado Central - weather.com. Tornado Season Is Off to an Active Start, But What Does That Mean for the Rest of It? May 7, 2019, 1:30 pm EDT March and April saw more tornado reports than average, but that does not mean May and ...",4,2020
qGEN45,tornado ,General,,Bing,"Tornadoes | Ready.gov. Tornadoes can destroy buildings, flip cars, and create deadly flying debris. Tornadoes are violently rotating columns of air that extend from a thunderstorm to the ground. Tornadoes can: Happen anytime and anywhere; Bring intense winds, over 200 MPH; and Look like funnels.",5,2020
qGEN51,tornado ,General,,Bing,"Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia. A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ...",1,2020
qGEN52,tornado ,General,,Bing,Tornado facts and information. Tornadoes are vertical funnels of rapidly spinning air. Their winds may top 250 miles an hour and can clear a pathway a mile wide and 50 miles long.,2,2020
qGEN53,tornado ,General,,Bing,"Extreme up-close video of tornado near Wray, CO! - YouTube. Extreme up-close footage of tornado just north of Wray, CO earlier today! SEE ALSO: 360 Video! https://www.youtube.com/watch?v=TCXp9Y5uPn4 MORE VIDEOS: http:...",3,2020
qGEN54,tornado ,General,,Bing,"Tornado Central - weather.com. Tornado Season Is Off to an Active Start, But What Does That Mean for the Rest of It? May 7, 2019, 1:30 pm EDT March and April saw more tornado reports than average, but that does not mean May and ...",4,2020
qGEN55,tornado ,General,,Bing,"Tornadoes | Ready.gov. Tornadoes can destroy buildings, flip cars, and create deadly flying debris. Tornadoes are violently rotating columns of air that extend from a thunderstorm to the ground. Tornadoes can: Happen anytime and anywhere; Bring intense winds, over 200 MPH; and Look like funnels.",5,2020
qGEN61,piramide egizia ,General,,Bing,"Classifica delle 8 Piramidi più Grandi del Mondo - Travel365 Classifica delle 8 Piramidi più Grandi del Mondo - Travel365. Se pensiamo alle piramidi subito ci vengono alla mente le incredibili costruzioni egizie, oppure siamo portati a ragionare su edifici antichi visti sui libri di scuola.Ma le piramidi non sono solo quelle e non hanno necessariamente la ""classica"" forma. Sapreste dire quali sono le più grandi del mondo e dove si trovano? Ve lo diciamo noi! 8 - La Danta: 0,9 milioni di m³ Se pensiamo alle piramidi subito ci vengono alla mente le incredibili costruzioni egizie, oppure siamo portati a ragionare su edifici antichi visti sui libri di scuola.Ma le piramidi non sono solo quelle e non hanno necessariamente la ""classica"" forma. Sapreste dire quali sono le più grandi del mondo e dove si trovano? Ve lo diciamo noi! 8 - La Danta: 0,9 milioni di m³",1,2020
qGEN62,piramide egizia ,General,,Bing,PIRAMIDI egizie: i MISTERI svelati! - Strane Storie - YouTube. Le piramidi sono opera degli extraterrestri? Come sono state realizzate? E gli allineamenti cosmici? E c'erano le lampadine a illuminarle? Le risposte a ques...,2,2020
qGEN63,piramide egizia ,General,,Bing,"Piramidi egizie - Studia Rapido. Le piramidi egizie rappresentano le tombe dei faraoni. La forma delle piramidi, pura ed essenziale, è regolata da precisi rapporti geometrici e assume un significato cosmico e religioso: secondo molti studiosi, essa rappresenta il Sole, il dio Ra, e i gli spigoli, diramandosi idealmente verso la terra, ne indicano i raggi.",3,2020
qGEN64,piramide egizia ,General,,Bing,"Le Piramidi - YouTube. Le Piramidi spiegate ai bambini. Quanto mistero si cela all'ombra delle Piramidi, maestosi monumenti funebri sopravvissuti al tempo, scrigni sacri edificati proprio per questo scopo, per lasciare ...",4,2020
qGEN65,piramide egizia ,General,,Bing,Gioco Solitario Piramide - paginainizio.com. Solitario Piramide - Pyramid solitaire [Gioco Flash] - 5.100.188 partite. Divertente solitario piramidale ambientato nell'antico Egitto! Il tuo scopo è quello di spostare le carte presenti nell'area di gioco e realizzare abbinamenti con ciascuna delle 3 carte poste al lato del mazzo e sul tavolo.,5,2020
qGEN71,piramidi ,General,,Bing,"Pyramid - Wikipedia. The pyramid is used in many different coats-of-arms associated with Port Elizabeth. Adjacent to the Pyramid is the lighthouse (1863) that houses the Nelson Mandela Bay Tourism office, as well as a 12 x 8 m South African Flag flying from a 65 m high flagpole. It also forms part of the Route 67 Public Art route.",1,2020
qGEN72,piramidi ,General,,Bing,"Pyramid - Wikipedia. A pyramid (from Greek: πυραμίς pyramís) is a structure whose outer surfaces are triangular and converge to a single step at the top, making the shape roughly a pyramid in the geometric sense.The base of a pyramid can be trilateral, quadrilateral, or of any polygon shape. As such, a pyramid has at least three outer triangular surfaces (at least four faces including the base).",2,2020
qGEN73,piramidi ,General,,Bing,"Piramidi di terra Segonzano - Natura - Percorsi nella .... Questo sono le Piramidi di terra nel Comune di Segonzano, in Valle di Cembra. Un fenomeno geologico unico in Trentino e raro nel mondo. Resti di un deposito morenico risalente all’ultima glaciazione, le Piramidi sono oggi un’attrazione turistica di alto valore didattico.",3,2020
qGEN74,piramidi ,General,,Bing,Piramidi. Suite & Appartamenti Residence Piramidi . App. Viale Manzoni CB. App. Bojano,4,2020
qGEN75,piramidi ,General,,Bing,"Piramidi di Segonzano Trento, Italy | The Travel Tester. Step into a landscape that is out-of-this-world as The Travel Tester explores the earth pyramids of Piramidi di Segonzano in the Trentino region of Italy.",5,2020
qGEN81,qual Ã¨ la piramide egizia piÃ¹ alta,General,,Bing,"Classifica delle 8 Piramidi più Grandi del Mondo - Travel365 Classifica delle 8 Piramidi più Grandi del Mondo - Travel365. Se pensiamo alle piramidi subito ci vengono alla mente le incredibili costruzioni egizie, oppure siamo portati a ragionare su edifici antichi visti sui libri di scuola.Ma le piramidi non sono solo quelle e non hanno necessariamente la ""classica"" forma. Sapreste dire quali sono le più grandi del mondo e dove si trovano? Ve lo diciamo noi! 8 - La Danta: 0,9 milioni di m³ Se pensiamo alle piramidi subito ci vengono alla mente le incredibili costruzioni egizie, oppure siamo portati a ragionare su edifici antichi visti sui libri di scuola.Ma le piramidi non sono solo quelle e non hanno necessariamente la ""classica"" forma. Sapreste dire quali sono le più grandi del mondo e dove si trovano? Ve lo diciamo noi! 8 - La Danta: 0,9 milioni di m³",1,2020
qGEN82,qual Ã¨ la piramide egizia piÃ¹ alta,General,,Bing,"Classifica delle 8 Piramidi più Grandi del Mondo. Conosciuta anche come Piramide Nord, è la maggiore delle tre grandi piramidi della necropoli di Dahshur. Deve il suo nome alla tinta rossastra che la contraddistingue. E' la terza piramide egizia in ordine di altezza dopo quella di Cheope e Chefren. All'epoca della sua creazione era la costruzione più alta del mondo.",2,2020
qGEN83,qual Ã¨ la piramide egizia piÃ¹ alta,General,,Bing,"Le Piramidi più antiche e famose al mondo - Travel365. La piramide fa parte del complesso funerario di Djoser o Zoser, re d'Egitto che regnò dal 2667 al 2648 a.c. circa. La piramide è opera del celebre sacerdote Imhotep, il primo grande e vero architetto della storia. Nonostante la sua altezza, che non regge il confronto con le maestose costruzioni di Giza, questo edificio è importante dal punto ...",3,2020
qGEN84,qual Ã¨ la piramide egizia piÃ¹ alta,General,,Bing,"Il mistero della quarta piramide ""La più bella, alta e .... Il mistero della quarta piramide ""La più bella, alta e preziosa"" La figura del successore di Cheope è enigmatica: eresse la sua tomba lontano da quelle di famiglia, vicino al dio Sole.",4,2020
qGEN85,qual Ã¨ la piramide egizia piÃ¹ alta,General,,Bing,"Piramide di Cheope - Wikipedia. La Piramide di Cheope, conosciuta anche come Grande Piramide di Giza o Piramide di Khufu, è la più antica e la più grande delle tre piramidi principali della necropoli di Giza. È la più antica delle sette meraviglie del mondo antico ed è l'unica pervenuta pressoché integra ai giorni nostri.",5,2020
qGEN91,velocita tornado ,General,,Bing,"Come nasce un tornado - National Geographic Come nasce un tornado - National Geographic Come nasce un tornado - National Geographic Come nasce un tornado - National Geographic Come nasce un tornado - National Geographic Come nasce un tornado - National Geographic Come nasce un tornado - National Geographic Come nasce un tornado - National Geographic Come nasce un tornado - National Geographic Come nasce un tornado - National Geographic. I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ... I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ... I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ... I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ... I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ... I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ... I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ... I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ... I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ... I tornado sono imbuti verticali formati da aria che ruota a velocità elevate, i cui venti possono raggiungere i 400 chilometri l'ora e spazzare un'area larga 1,6 chilometri e lunga 80. Questo fenomeno naturale ha origine dai temporali spesso accompagnati da grandine e può essere particolarmente ...",1,2020
qGEN92,velocita tornado ,General,,Bing,"Aerei Militari - Tornado IDS. Nella notte tra il 17 ed il 18 gennaio 1991, i Tornado italiani (otto in tutto) furono impiegati in un pacchetto di attacco destinato a colpire un deposito di munizioni irakeno. A causa delle cattive condizioni meteo, solo uno dei Tornado italiani riuscì a completare il rifornimento in volo, e a proseguire l'attacco.",2,2020
qGEN93,velocita tornado ,General,,Bing,"BLU TORNADO - GARDALAND HD (a bordo in prima fila .... A bordo dell'inverted coaster BLU TORNADO nel parco giochi GARDALAND!!! Esperienza decisamente adrenalinica!!! Video girato con fotocamera CANON IXUS 130 Inverted coaster BLU TORNADO on board, in ...",3,2020
qGEN94,velocita tornado ,General,,Bing,Aerei Militari - Tornado IDS dati tecnici. Questo sito tratta di aerei militari moderni. Sono presenti numerose schede tecniche contenenti dati tecnici dettagliati e numerose foto.,4,2020
qGEN95,velocita tornado ,General,,Bing,"Tromba d'aria - Wikipedia. Il tornado più violento degli Stati Uniti si verificò il 18 maggio 1925 in Missouri, Illinois e Indiana. Il tornado percorse oltre 350 chilometri attraverso questi 3 stati uccidendo 689 persone e ferendone quasi 200. Un altro record si verificò con il maggior numero di tornado simultanei.",5,2020
