Query,Prompt Type,IAS,Resp,Rank,date_generated
Si e scoperto il padre di Micerino?,General,Bing,"Piramide di Micerino, Guida alla Visita - Egitto 2025 | Arché Travel. Shepseskaf, il figlio di Micerino. L’edificio, si collega al tempio a valle attraverso la lunga rampa processionale e secondo gli studiosi comprendeva differenti ambienti. Nel 1906, gli egittologi però ritrovarono solo il muro perimetrale e qualche parte delle fondamenta.",4,2025_01_29
Si e scoperto il padre di Micerino?,General,Bing,Chi erano Chefren e Micerino? - in3giorni.com. Nome di un faraone della 4 a dinastia (circa 2600-2480 a. C.); figlio di Cheope e padre di Micerino; costruì una piramide a Giza. Al suo tempo risale la grande sfinge della necropoli menfitica.,5,2025_01_29
quali sono le regole principali della pallavolo,General,Bing,"Le Regole della Pallavolo spiegate in modo semplice e chiaro. Esplora le regole dettagliate della pallavolo, inclusi i termini e le disposizioni del campo. Scopri le regolamentazioni ufficiali e i ruoli dei giocatori. Tutto ciò che devi sapere per comprendere e goderti al meglio questo affascinante sport.",1,2025_01_29
quali sono le regole principali della pallavolo,General,Bing,"Pallavolo, regole e ruoli: riassunto | Studenti.it. Pallavolo: come funziona, quali sono le regole e i ruoli del gioco. Caratteristiche fondamentali, numero di giocatori e allenamento: riassunto breve",2,2025_01_29
quali sono le regole principali della pallavolo,General,Bing,Le regole di gioco della pallavolo - Decathlon. Preparati per il prossimo match di volley-ball imparando le regole di gioco fondamentali per giocare con la tua squadra! La pallavolo è uno sport che si svolge tra due squadre di sei giocatori ciascuna.,3,2025_01_29
quali sono le regole principali della pallavolo,General,Bing,"Tutte le regole della pallavolo in breve - Sportivo e Informa. Le regole della pallavolo distinguono ben cinque ruoli differenti all’interno di una squadra, nonostante i giocatori siano sei: palleggiatore, opposto, centrale, schiacciatore (x 2) e libero. Il palleggiatore è un ruolo fondamentale, infatti determina quasi tutte le azioni offensive del suo team.",4,2025_01_29
quali sono le regole principali della pallavolo,General,Bing,"Le regole della Pallavolo: dalle dimensioni del campo ai falli. La regole della Pallavolo: i falli. Si conquista punto ogni volta che la palla tocca il terreno avversario oppure ogni volta che la squadra avversaria commette un fallo. Di seguito, vediamo i principali falli secondo le regole della pallavolo: E’ fallo se si blocca la palla in gioco; E’ fallo se si tocca la palla nel campo avversario;",5,2025_01_29
quanti leopardi delle nevi sono rimasti,General,Bing,"I leopardi delle nevi sono in pericolo di estinzione nel 2024. Nelle remote terre selvagge, il “fantasma delle montagne” – lo sfuggente leopardo delle nevi – è a rischio di estinzione. Questo appello sollecita un’azione collettiva per proteggere questa specie enigmatica e preservare il suo delicato habitat montuoso.",1,2025_01_29
quanti leopardi delle nevi sono rimasti,General,Bing,"Leopardo delle nevi: la guida a questo felino in via di estinzione. Dove si sa che ne esistono di più è in Cina, con una stima tra i 2000 e i 2500 esemplari (praticamente la metà delle sue specie), mentre dove non ne sono rimasti quasi più è in Uzbekistan (appena 20-50).",2,2025_01_29
quanti leopardi delle nevi sono rimasti,General,Bing,"Quanti Leopardi sono rimasti? - animali.wiki. Quanti leopardi delle nevi sono rimasti? È l'ABC delle SPECIE. Il leopardo delle nevi è un animale estremamente elusivo che vive nelle aree rocciose e montuose dell'Himalaya, del Tibet, del Pamir, dei monti Altai e di altre zone dell'Asia centrale. La stima si riferisce agli individui maturi.",3,2025_01_29
quanti leopardi delle nevi sono rimasti,General,Bing,"Leopardo delle nevi - Mille Animali. Ci sono da 5 a 7 mila leopardi delle nevi rimasti in libertà. Vivono in 12 diversi paesi dell’Asia centrale. Il loro habitat è rappresentato dalle montagne del Bhutan, Afghanistan, Cina, India, Kirghizistan, Kazakistan, Nepal, Mongolia, Pakistan, Russia, Tagikistan e Uzbekistan.",4,2025_01_29
quanti leopardi delle nevi sono rimasti,General,Bing,"Leopardo delle nevi: le caratteristiche di questo bellissimo felino. Ad oggi, le stime contano dai 4.000 ai 6.500 esemplari rimasti. La speranza è che il numero sia molto più alto perché, in realtà, si tratta di un animale molto schivo ed è molto difficile individuarlo.",5,2025_01_29
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General,Bing,"Cosa sono i tornado e perché si verificano? - inNaturale. Il vortice di un tornado può raggiungere fino a 300 metri di ampiezza, si muove in linea retta e di solito percorre anche decine di chilometri prima di dissolversi. Nell’epicentro del tornado l’aria ha una pressione bassissima e il vento raggiunge anche i 600 chilometri l’ora.",1,2025_01_29
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General,Bing,"Il fenomeno atmosferico più distruttivo: il Tornado | Fisica .... La velocità del vento può superare i 500 km/h, mentre le correnti ascensionali toccano anche i 300 km/h, riuscendo a sollevare da terra gli oggetti più pesanti come automobili, case, locomotive ed altro ancora.",2,2025_01_29
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General,Bing,"Quali sono le velocità dei tornado? - Portale Sulla Scienza. 🎓 I tornado sono una delle minacce più potenti e spaventose prodotte dalla natura. I tornado producono venti che possono superare quelli dei più potenti uragani, ma in un'area molto concentrata. Queste velocità del vento possono superare 200 miglia all'ora e causare devastazione totale.",3,2025_01_29
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General,Bing,"Cronometrando la Velocità di un Tornado | NEURALWORD. La loro velocità di rotazione può raggiungere livelli estremi, creando una potenza devastante che può causare gravi danni alle aree che colpiscono. In questo articolo esploreremo come viene cronometrata la velocità di un tornado e risponderemo a domande comuni legate a questo fenomeno naturale.",4,2025_01_29
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General,Bing,"Trombe d’aria e tornado: cosa sono, come si sviluppano ... - Ingenio. Le trombe d’aria, note anche come tornado, sono tra i fenomeni atmosferici più violenti e spettacolari esistenti in natura. Si manifestano come vortici d’aria rotanti ad altissima velocità, che si estendono da una nube temporalesca fino al suolo.",5,2025_01_29
Come si costruivano le piramidi Egizie?,General,Bing,"Teorie sulla costruzione delle piramidi egizie - Wikipedia. Nei cento anni che precedettero Giza, a partire da Djoser che regnò dal 2687 al 2667 a.C., tra le dozzine di altri templi, piccole piramidi ed altri progetti, furono costruite altre tre grandi piramidi.",1,2025_01_29
Come si costruivano le piramidi Egizie?,General,Bing,"Piramidi egizie - Wikipedia. Le piramidi egizie sono costruzioni architettoniche di forma piramidale con base perlopiù quadrata o, talvolta, rettangolare.",2,2025_01_29
Come si costruivano le piramidi Egizie?,General,Bing,"COME SI COSTRUIVANO LE PIRAMIDI? – LA CIVILTA' EGIZIA. Si utilizzavano essenze locali, come legno di palma o sicomoro per rinforzare le rampe e le vie di trasporto, ma anche acacia, palma Dum e Ziziphus, per costruire imbarcazioni destinate al trasporto dei materiali da un capo all’altro dell’Egitto.",3,2025_01_29
Come si costruivano le piramidi Egizie?,General,Bing,"Come hanno fatto gli Egiziani a costruire le piramidi?. Le piramidi d'Egitto sono uno dei misteri più affascinanti dell'antichità. Scopri con Focus Junior come ha fatto questo popolo, 3mila anni fa, a costruire questi grandiosi monumenti.",4,2025_01_29
Come si costruivano le piramidi Egizie?,General,Bing,"""Egizi e piramidi: costruzione, funzione e misteri di un'iconica .... Le piramidi sono antichi monumenti costruiti dagli Egizi durante il loro periodo storico più glorioso, il Nuovo Regno. Queste imponenti strutture erano generalmente costruite per i faraoni, e si pensava che fossero utilizzate come tombe per la loro sepoltura.",5,2025_01_29
Dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope - Wikipedia. La Piramide di Cheope è la più antica e più grande delle tre piramidi principali della necropoli di Giza. È la più antica delle sette meraviglie del mondo antico nonché l'unica arrivata ai giorni nostri. È costituita da almeno 2 300 000 blocchi, ciascuno mediamente del peso di circa 2,5 tonnellate e, secondo gli egittologi, fu edificata ...",1,2025_01_29
Dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope, dove si trova? È incredibile la sua posizione: vi .... La sua particolarità sta però nella sua posizione: la Grande Piramide, infatti si trova proprio in un punto esatto della Terra. É l’unica delle sette meraviglie del mondo antico ancora in...",2,2025_01_29
Dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope, Guida Visita - Egitto 2025 | Arché Travel. Si trova all’interno della Necropoli di Giza, uno dei più importanti siti archeologici al mondo. Inoltre, questa piramide è l’unica tra le sette meraviglie del mondo antico ad essere ancora oggi intatta e visitabile. Ma non solo, perché questo luogo è anche un Patrimonio dell’Unesco.",3,2025_01_29
Dove si trova la piramide di Cheope?,General,Bing,"Le Piramidi di Giza: dove si trovano e quante sono - idealista. Le piramidi dell’area di Giza sono 3 e il loro nomi sono, oltre alla Grande Piramide di Cheope, le piramidi di Chefren e Micerino. Insieme a queste costruzioni c’è anche la famosissima Sfinge.",4,2025_01_29
Dove si trova la piramide di Cheope?,General,Bing,"Piramide di Cheope: storia, descrizione e misteri | Esquire. Conosciuta anche come Grande Piramide di Giza o Piramide di Khufu, la Piramide di Cheope è un’immensa costruzione situata nella necropoli di Giza - vicino a Il Cairo - ed è, tra...",5,2025_01_29
FANTASMA DELLE MONTAGNE,General,Bing,Chi è il leopardo delle nevi e perché è detto “fantasma delle montagne”. Il misterioso leopardo delle nevi è un grosso carnivoro che abita le regioni montuose dell’Asia centrale. Da sempre è protagonista di miti e racconti ed è detto anche fantasma delle montagne per il suo comportamento elusivo.,1,2025_01_29
FANTASMA DELLE MONTAGNE,General,Bing,"Il leopardo delle nevi: dove vive il “fantasma delle montagne ... - Ohga. Il leopardo delle nevi (Panthera uncia) non è solo agile e sfuggente, come d'abitudine quando si parla di felini, ma è ritenuto addirittura uno degli animali più difficili da avvistare: viene chiamato infatti ""fantasma delle montagne"", proprio perché è in grado di mimetizzarsi con l'ambiente e quindi di sfuggire facilmente alla vista di ...",2,2025_01_29
FANTASMA DELLE MONTAGNE,General,Bing,"Il leopardo delle nevi è un cacciatore formidabile e un maestro del .... Il leopardo delle nevi (Panthera uncia) è un felide straordinariamente adattato agli ambienti montani estremi dell’Asia centrale, dove vive a quote elevate, fino a 5.400 metri.Questo predatore ...",3,2025_01_29
FANTASMA DELLE MONTAGNE,General,Bing,"Mongolia, il Fantasma delle Montagne esiste: è il leopardo delle nevi. Una gigantesca indagine durata 4 anni, finalmente regala informazioni in merito al leopardo delle nevi in Mongolia. Lo chiamano Fantasma delle Montagne perché riuscire a immortalarlo e...",4,2025_01_29
FANTASMA DELLE MONTAGNE,General,Bing,"10 curiosità da scoprire sul leopardo delle nevi - Montagna.TV. Il leopardo delle nevi è anche noto come “Fantasma delle Montagne” perché, oltre a vivere in zone rocciose lungo le catene montuose di Himalaya, Tibet, Pamir, Monti Altai e altre aree...",5,2025_01_29
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General,Bing,"Perchè i tornado hanno nomi femminili? - QualcheRisposta.it. Una scelta influenzata probabilmente dalla Marina militare, dove i nomi di donna sono storicamente molto utilizzati. Ma dopo 25 anni, sull'onda delle pressioni dei gruppi femministi, la regola è cambiata ancora una volta.",1,2025_01_29
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General,Bing,"Quali sono altri nomi per i tornado? - 411answers.com. Un tornado, una tempesta di vento localizzata e molto distruttiva che si verifica sulla terraferma, viene anche definito ciclone, twister o imbuto. Queste appendici a forma di imbuto si estendono da una nuvola di tempesta al terreno e sono costituite da vento che ruota molto velocemente con un movimento circolare.",2,2025_01_29
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General,Bing,"Il fenomeno atmosferico più distruttivo: il Tornado | Fisica .... Il tornado è un vortice d’aria che sale all’interno di una nube. Nella fase iniziale o in quella più matura, tutti i temporali sono caratterizzati da correnti ascendenti, chiamate “ updrafts ”.",3,2025_01_29
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General,Bing,"Tortano o casatiello? Quali le differenze e dove comprarli? Ecco la .... Un riferimento assoluto e indiscusso è la pasticceria Mignone. Stessa tradizione a Pompei dove viene prodotto dalla Panetteria Esposito. Questo dolce poi si trova con altri nomi anche in altre zone, per esempio nel Sannio c’è la Pigna, un casatiello dolce del Monte Titerno mentre, con lo stesso nome, Pigna, si produce anche in ...",4,2025_01_29
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General,Bing,"Tortano - Wikipedia. Il tòrtano è un prodotto della cucina napoletana. Si tratta di un pane salato, tipico del periodo pasquale. Il tortano è molto simile al casatiello: la principale differenza è l'utilizzo delle uova (nel casatiello sono posizionate anche nella parte superiore e non solo sode e a pezzettini nell'impasto come nel tortano).",5,2025_01_29
Quale e la piramide egizia piu` alta ?,General,Bing,"Piramide di Cheope - Wikipedia. La Piramide di Cheope è la più antica e più grande delle tre piramidi principali della necropoli di Giza. È la più antica delle sette meraviglie del mondo antico nonché l'unica arrivata ai giorni nostri. È costituita da almeno 2 300 000 blocchi, ciascuno mediamente del peso di circa 2,5 tonnellate e, secondo gli egittologi, fu edificata ...",1,2025_01_29
Quale e la piramide egizia piu` alta ?,General,Bing,"Piramidi di Giza Altezza: Scopri le Meraviglie Antiche - Viaggio in Egitto. Qual è l'altezza delle principali piramidi egizie? La Piramide di Cheope, la più grande del complesso di Giza, raggiunge un'altezza di 147 metri. È seguita dalla Piramide di Chefren, alta 136 metri, e dalla Piramide di Micerino, che misura 61 metri.",2,2025_01_29
Quale e la piramide egizia piu` alta ?,General,Bing,"Piramidi Altezza: L'Altezza delle 8 Piramidi più Famosi - Tour Egitto. La Piramide Rossa misura circa 105 metri di altezza, rendendola la terza piramide più alta dell'Egitto, dopo la Grande Piramide di Giza e la Piramide di Khafre. Realizzata in calcare rosso, da cui deriva il suo nome, la piramide presenta una struttura interna complessa con camere e corridoi.",3,2025_01_29
Quale e la piramide egizia piu` alta ?,General,Bing,"Le Piramidi di Giza: dove si trovano e quante sono - idealista. Le piramidi dell’area di Giza sono 3 e il loro nomi sono, oltre alla Grande Piramide di Cheope, le piramidi di Chefren e Micerino. Insieme a queste costruzioni c’è anche la famosissima Sfinge.",4,2025_01_29
Quale e la piramide egizia piu` alta ?,General,Bing,"Classifica delle 8 Piramidi più Grandi del Mondo - Travel365. La Piramide di Cheope, conosciuta anche come Grande Piramide di Giza o Piramide di Khufu, è la più antica nonché la più grande delle tre piramidi principali della necropoli di Giza, in Egitto. È la più vetusta delle sette meraviglie del mondo antico e l'unica ad essere ancora per lo più integra.",5,2025_01_29
Quanto era alta la tomba del padre di Micerino?,General,Bing,"LA PIRAMIDE DI MICERINO - LA CIVILTA' EGIZIA. La piramide era alta in origine 65,5 m, (oggi 62 m), con una base quadrata di 103,4 m ed un’inclinazione di 51°20’25”. Secondo alcuni pare evidente una certa fretta da parte del costruttore che potrebbe averla edificata in più riprese, cosa che si deduce anche dall’uso di materiali vari, mattoni crudi da riempimento e varie tecniche.",1,2025_01_29
Quanto era alta la tomba del padre di Micerino?,General,Bing,"La Piramide di Micerino | L'ultima piramide di Giza - Pyramid of Giza. Il complesso piramidale di Micerino, completato intorno al 2510 a.C., fu l'ultimo costruito sull'Altopiano di Giza. Si tratta della tomba del faraone egiziano Micerino, appartenente alla IV dinastia, che successe al trono di suo padre Chefren.",2,2025_01_29
Quanto era alta la tomba del padre di Micerino?,General,Bing,"Piramide di Micerino - Wikipedia. La Piramide di Micerino o Menkaura, eretta nell'ultima area libera dell’ altopiano roccioso di Giza, era il cenotafio del sovrano denominato Neter Menkaura ossia «Divino [è] Micerino ». Altezza totale iniziale 65,5 metri. Altezza odierna 62 metri. Base quadrata con lato di 103,4 metri. Angolo basale 51°20'25"". Volume (arr) 252.500 m³.",3,2025_01_29
Quanto era alta la tomba del padre di Micerino?,General,Bing,"La Piramide di Micerino, Guida alla Visita - ARCHE' TRAVEL. La Piramide di Micerino si trova all’interno della Necropoli di Giza, a 25 km dalla capitale Il Cairo, in Egitto. Questa monumentale scultura funeraria è collocata nella parte sud della piana, accanto alla Piramide di Chefren che, secondo gli storici, era suo padre.",4,2025_01_29
Quanto era alta la tomba del padre di Micerino?,General,Bing,"La Piramide di Micerino - StorieParallele.it. La Piramide di Micerino, o Menkaure, è il cenotafio del Faraone Neter Menkaura. Situata a circa 450 metri a sud ovest rispetto alla piramide di Chefren, è la più piccola delle tre piramidi della piana: la struttura si presenta oggi con un’altezza di 62 metri su di una base quadrata con il lato di 103 metri circa.",5,2025_01_29
quanto Ã¨ alta la tomba del padre di micerino,General,Bing,"Piramide di Micerino - Wikipedia. La Piramide di Micerino o Menkaura, eretta nell'ultima area libera dell’ altopiano roccioso di Giza, era il cenotafio del sovrano denominato Neter Menkaura ossia «Divino [è] Micerino ». Altezza totale iniziale 65,5 metri. Altezza odierna 62 metri. Base quadrata con lato di 103,4 metri. Angolo basale 51°20'25"". Volume (arr) 252.500 m³.",1,2025_01_29
quanto Ã¨ alta la tomba del padre di micerino,General,Bing,"La Piramide di Micerino | L'ultima piramide di Giza - Pyramid of Giza. Il complesso piramidale di Micerino, completato intorno al 2510 a.C., fu l'ultimo costruito sull'Altopiano di Giza. Si tratta della tomba del faraone egiziano Micerino, appartenente alla IV dinastia, che successe al trono di suo padre Chefren.",2,2025_01_29
quanto Ã¨ alta la tomba del padre di micerino,General,Bing,"Micerino - Wikipedia. Micerino è famoso per la sua tomba, la Piramide di Micerino, a Giza, e per la triadi statuarie che lo raffigurano affiancato da divinità o dalle consorti Khamerernebti II e Rakhetra [9]. Statua di Micerino e della regina Khamerernebti II, in grovacca, rinvenuta nel tempio mortuario del faraone a Giza. Museum of Fine Arts, Boston.",3,2025_01_29
quanto Ã¨ alta la tomba del padre di micerino,General,Bing,"La Piramide di Micierino | Un Capolavoro Straordinario. Successivamente alla costruzione delle imponenti piramidi di suo padre Chefren e suo nonno Cheope, Micerino scelse di edificare la sua ultima dimora nell'ultima area disponibile dell'altopiano di Giza.",4,2025_01_29
quanto Ã¨ alta la tomba del padre di micerino,General,Bing,"L’INTERNO DELLA PIRAMIDE DI MICERINO – LA CIVILTA' EGIZIA. La piramide di Micerino misura 103 m. di lato e 62 m. in altezza ed è quindi grande solo un decimo rispetto a quella di Cheope; nonostante ciò essa era un vero gioiello, in quanto fu costruita con blocchi di dimensioni maggiori ed era rivestita almeno per la parte inferiore di granito rosso di Assuan, una pietra pregiata, molto dura da ...",5,2025_01_29
quanto Ã¨ alta la tomba del padre micerino,General,Bing,"Piramide di Micerino - Wikipedia. La Piramide di Micerino o Menkaura, eretta nell'ultima area libera dell’ altopiano roccioso di Giza, era il cenotafio del sovrano denominato Neter Menkaura ossia «Divino [è] Micerino ». Altezza totale iniziale 65,5 metri. Altezza odierna 62 metri. Base quadrata con lato di 103,4 metri. Angolo basale 51°20'25"". Volume (arr) 252.500 m³.",1,2025_01_29
